Open,High,Low,Close,Volume
70.4,70.6,69.33,70.44,4943100
70.08,71.27,69.86,71.17,3165000
70.55,70.55,69.58,70.33,4598300
70.34,70.5,69.05,69.35,4820200
69.28,69.4,68.66,68.77,4567700
68.8,69.24,68.57,69.1,3869000
69.97,70.3,69.11,70.1,5011900
70.25,70.45,69.54,69.69,2347000
69.64,70.2,68.79,69.48,2963700
69.07,69.4,68.66,68.69,2712900
68.55,68.92,68.05,68.41,2659400
68.16,68.49,67.72,68.17,2642700
68.1,68.16,66.49,66.5,6436700
65.9,67.34,65.9,67.02,4067400
67.41,67.88,67.13,67.66,3581900
67.71,67.91,66.91,66.91,3722700
67.44,68.75,67.32,68.72,4768400
68.39,69.25,67.99,68.56,3954700
68.52,69.05,68.2,69.03,2048100
69.0,69.05,68.31,68.31,4095000
70.0,72.17,70.0,71.62,11806100
71.35,72.3,71.3,71.7,6603100
71.7,72.09,70.86,70.87,3786900
70.65,71.64,70.3,71.14,3163000
71.3,72.05,71.16,71.55,4247000
71.25,71.93,71.0,71.76,2891100
71.77,72.76,71.37,72.01,4149200
72.1,72.7,72.03,72.53,2813100
71.95,72.64,71.82,72.11,3294600
72.35,72.86,71.93,72.71,4160400
72.37,72.74,72.05,72.45,2797800
72.65,72.93,72.2,72.55,2216800
72.55,73.0,72.28,72.96,2670700
73.15,73.4,72.65,73.05,3333000
73.06,74.61,73.06,74.39,5008400
73.95,74.2,73.78,73.9,2574300
73.65,74.59,73.31,74.31,2657100
74.05,74.89,74.0,74.13,1974100
73.9,74.0,72.36,72.69,3903600
72.56,73.08,72.25,72.95,2047500
72.75,73.35,72.34,72.8,1781000
72.81,74.4,72.51,73.39,2707900
73.7,73.71,72.3,72.63,2347000
72.66,73.23,72.37,73.16,1919500
72.85,72.86,71.9,72.82,3173300
72.75,74.25,72.5,73.76,3000800
73.77,74.9,73.2,74.79,3029200
75.21,75.9,74.5,74.84,3658300
74.84,75.63,74.72,75.45,2617900
75.4,76.3,75.27,76.05,2623300
76.25,77.05,76.1,76.73,2633500
77.2,78.08,77.05,77.85,4535500
78.5,78.86,77.83,78.18,3363500
78.8,79.2,78.25,78.26,4118800
77.45,78.8,78.0,78.61,2525300
78.61,78.62,77.51,77.9,2285900
78.05,79.11,78.05,78.73,2947500
78.73,78.75,77.82,78.39,3140100
78.5,79.0,77.37,77.51,2902200
77.95,79.48,77.86,79.18,4044400
78.95,79.5,78.06,78.42,3004100
78.6,78.92,77.81,77.93,2294800
78.25,79.13,78.01,78.01,3303500
78.58,78.85,77.5,78.6,2601000
78.85,79.19,77.82,79.11,3085800
79.22,80.13,79.22,79.82,2910700
79.99,80.37,78.72,79.57,2710000
79.62,80.92,79.61,80.79,2810700
80.63,80.71,79.71,80.57,2748100
81.12,84.23,81.11,83.21,6519900
83.7,83.7,82.81,82.93,3230700
83.2,83.99,81.95,82.35,3318000
82.42,83.37,81.88,83.3,4340700
83.75,84.99,83.7,84.96,3360600
84.71,86.26,84.71,85.5,4445900
86.2,86.58,85.86,86.46,4203000
86.66,87.25,86.1,86.1,3624300
86.35,86.48,84.9,85.11,4649400
84.16,86.1,83.2,84.91,6190800
84.54,84.7,83.1,84.1,3906500
84.28,84.66,83.01,83.45,3863800
83.45,84.12,82.82,83.86,3928200
84.26,85.82,83.86,85.33,3012300
85.4,86.03,85.22,85.87,3040800
85.89,87.15,85.81,86.64,3319700
87.47,88.55,87.3,88.47,3349100
88.48,89.3,87.36,87.59,3334800
87.61,88.0,87.1,87.99,2231900
88.0,89.58,87.65,88.94,3784500
89.45,89.55,87.9,88.21,2652900
88.21,89.01,86.94,87.01,2932300
85.76,86.47,84.57,85.86,4171300
85.89,86.98,85.35,86.4,3057000
86.4,86.4,83.28,83.77,5267100
84.25,84.84,82.6,82.73,3616900
83.0,85.3,82.06,84.61,5508200
84.46,86.03,84.02,85.71,4535300
86.04,86.7,85.15,85.15,4044100
84.97,85.15,81.63,82.38,6731600
82.8,83.8,82.29,82.99,3295700
83.6,83.81,83.05,83.5,2354600
83.5,83.5,81.57,82.13,3935800
81.21,83.44,81.21,83.25,3953600
83.6,83.72,82.55,83.64,2373600
84.0,84.58,83.17,83.8,3231000
83.79,83.97,82.06,82.13,3422900
82.0,82.34,79.47,80.65,6325400
80.83,81.92,80.29,81.46,5014700
