Open,High,Low,Close,Volume
57.87,58.11,57.05,57.8,3697500
57.95,59.43,57.55,59.27,4577200
59.02,59.86,59.0,59.27,4590700
59.47,60.76,59.38,60.45,5692300
60.45,61.68,60.45,61.55,4409300
61.35,61.52,60.64,61.3,3188100
60.87,61.64,60.7,61.33,2755600
61.23,62.66,61.11,62.21,5322500
62.02,62.49,61.87,62.33,1936700
61.69,63.15,61.65,62.96,3623300
62.36,62.72,61.7,62.33,3656100
62.05,63.0,61.9,62.51,2375600
62.51,62.51,60.48,60.78,4441300
60.75,61.44,60.26,61.04,2710500
60.79,61.86,60.75,61.35,3291600
61.5,63.25,61.11,62.07,4772400
63.3,65.44,62.3,65.17,10318100
65.9,68.37,65.15,67.53,7588000
66.53,68.12,66.32,67.01,5077400
67.0,68.17,66.64,67.9,5674400
68.1,69.34,67.9,69.24,4826100
68.75,69.1,67.99,68.39,4605500
68.2,68.97,67.75,68.13,3529800
68.5,68.82,68.0,68.7,3745900
68.3,68.34,66.93,67.16,4909100
67.75,68.89,67.36,68.81,3569100
69.0,69.75,68.23,68.45,4017700
68.15,68.87,67.78,68.75,3167900
68.3,69.06,67.88,68.62,2838400
69.0,70.41,68.23,70.22,4532600
69.93,71.65,69.9,71.6,4396500
71.79,72.0,71.39,71.96,3483300
72.0,72.39,71.71,72.05,4767900
72.0,72.79,71.68,72.59,3956800
72.59,73.73,72.54,73.06,5532000
73.07,73.09,71.9,72.35,4974100
72.5,72.92,71.76,72.7,2924100
73.3,73.99,73.0,73.5,3217900
73.1,73.36,72.4,73.08,4444400
73.13,74.94,72.95,74.39,4193400
74.14,74.62,73.81,74.34,2247700
74.35,75.5,74.11,74.61,3397300
74.63,74.88,72.5,73.22,5497000
73.01,74.02,72.21,73.04,4904800
73.04,73.05,70.34,72.4,7726100
72.43,72.52,71.25,71.4,5101600
71.35,72.01,70.38,70.95,5996900
71.45,71.75,70.79,71.0,3401500
71.0,72.28,71.0,71.94,4048600
72.11,74.7,71.94,74.29,5212600
74.93,75.39,74.38,74.9,5802800
75.58,76.35,74.45,76.23,7015600
76.88,77.11,75.63,75.85,4217900
75.9,76.27,74.19,74.31,4594400
73.7,76.45,74.38,76.21,3636000
76.4,77.21,75.75,76.26,4874800
76.26,76.66,75.17,75.5,4321200
75.88,76.16,75.03,75.38,2579100
75.55,76.23,74.71,74.87,3726800
73.25,73.98,72.55,73.67,6588100
73.65,74.35,72.16,72.4,5283600
72.4,72.46,71.3,71.81,4316800
72.71,75.48,72.56,73.5,5885200
74.1,75.52,73.49,75.3,4606100
75.5,76.15,74.6,75.8,4758400
75.5,76.08,75.01,75.65,3679300
75.6,76.05,74.66,74.92,4262900
74.93,75.92,74.92,75.45,4040400
76.22,76.74,75.5,76.66,5325200
76.84,78.25,76.84,77.84,6412900
77.2,77.77,76.41,76.94,4209000
77.49,78.8,76.29,76.45,5469400
77.05,79.1,76.82,78.91,7702500
79.05,79.95,78.35,78.97,4648100
78.99,79.32,77.25,77.97,3850300
79.45,80.0,77.6,77.87,6891700
78.25,79.72,76.73,77.38,11226000
77.28,77.28,74.77,74.93,7537200
76.06,76.8,75.61,75.95,4613000
74.99,75.65,73.85,75.06,6142000
75.5,76.1,75.1,75.74,4432600
76.2,76.61,75.41,75.63,4253100
75.94,77.66,75.82,77.48,3857500
77.95,78.23,76.6,78.1,3639700
78.5,79.13,78.32,78.81,3640800
79.58,80.89,79.4,79.98,6022700
79.99,80.12,78.91,79.9,2725300
80.0,81.14,79.99,81.14,2969300
81.39,82.03,80.25,80.97,3969300
80.97,81.3,79.34,79.62,4367800
79.25,79.5,77.68,77.81,4548800
77.81,77.9,76.22,77.47,4918800
77.96,78.97,77.12,77.34,3756300
76.39,77.16,75.01,75.91,6110900
76.09,76.45,74.35,74.62,6260200
74.99,75.08,72.1,72.78,10337600
72.0,73.38,71.95,72.87,7286400
73.71,74.75,73.67,73.72,5703800
73.4,75.2,72.18,73.59,6464700
73.72,74.08,72.44,73.96,3761000
74.25,74.82,73.33,74.42,2748000
74.43,74.44,72.06,72.16,4130200
72.58,73.42,71.4,72.95,4032900
72.71,73.47,71.86,73.29,2910300
73.55,73.55,72.13,72.81,3731000
72.8,72.81,68.81,69.33,6864100
69.25,70.02,68.1,68.48,8730700
68.7,68.75,66.41,66.74,9782100
66.4,67.54,64.41,66.89,11897800
67.89,69.05,67.3,67.52,7943000
68.4,68.4,66.06,66.32,6336200
65.63,67.5,65.41,66.33,6267900
65.95,67.58,65.9,67.48,5343500
68.5,71.05,68.5,70.85,8440100
70.85,71.37,70.35,70.55,6862100
71.0,71.45,69.5,69.95,5341000
70.38,71.64,70.2,70.99,5368800
