Open,High,Low,Close,Volume
17.21,17.49,17.18,17.45,55432166
17.48,17.93,17.46,17.85,80409776
17.94,18.48,17.93,18.35,118588943
18.51,18.88,18.47,18.77,122450979
18.97,19.11,18.92,19.06,78604868
18.87,19.15,18.78,18.97,73839465
18.98,19.43,18.94,19.4,73964864
19.27,19.35,19.08,19.2,59581203
19.13,19.33,18.89,18.92,52389265
18.7,18.78,18.47,18.68,53133127
18.4,18.85,18.37,18.73,69496410
18.85,19.12,18.82,19.02,54525205
18.91,18.93,18.24,18.51,77920352
18.54,18.56,18.13,18.16,54554500
18.17,18.47,18.15,18.33,50575291
18.35,18.61,18.26,18.57,51621583
18.57,18.69,18.25,18.58,64902693
18.58,18.95,18.56,18.78,48721418
18.69,18.95,18.67,18.89,43844262
18.7,18.74,18.32,18.57,64726297
18.4,18.62,18.35,18.58,53735450
18.46,18.75,18.3,18.37,40285246
18.29,18.33,17.95,18.15,71697239
18.03,18.1,17.83,17.83,51813504
17.84,18.2,17.82,18.09,79062409
19.27,19.5,19.11,19.4,200897311
19.52,19.98,19.47,19.55,119727309
19.61,19.88,19.6,19.76,73782485
19.62,19.85,19.32,19.55,58623290
19.64,19.86,19.58,19.7,55794058
19.6,19.96,19.6,19.94,65072426
19.91,20.0,19.83,19.98,47370983
19.94,19.99,19.83,19.86,35965898
19.71,19.9,19.45,19.58,47669568
19.57,19.93,19.57,19.67,57721243
19.62,19.85,19.56,19.72,48177258
19.7,19.91,19.68,19.85,37446288
19.85,20.0,19.83,19.97,55855826
19.96,20.4,19.86,20.24,137102013
20.38,21.12,20.34,21.06,160379953
20.93,21.06,20.7,20.88,69236901
20.7,21.33,20.66,21.04,76434649
20.97,21.48,20.88,21.05,85159302
20.93,20.98,20.68,20.87,47525722
20.71,20.99,20.68,20.86,54439388
20.9,20.91,20.44,20.44,45642900
20.6,20.88,20.32,20.82,48471016
20.87,21.15,20.81,20.86,46528916
20.82,21.25,20.77,21.25,55412595
21.19,21.5,21.16,21.44,48519486
21.49,21.69,21.24,21.25,55454141
21.44,21.68,21.15,21.62,62109155
21.62,21.74,21.43,21.68,34526730
21.55,21.85,21.28,21.41,49443318
21.24,21.5,21.23,21.42,35799677
21.29,21.49,21.21,21.41,37039278
21.34,21.5,21.24,21.36,34070436
21.29,21.85,21.25,21.69,53095362
21.61,21.9,21.31,21.33,54354834
21.4,21.88,21.28,21.57,58306138
21.6,22.0,21.55,21.97,54953862
21.95,22.0,21.67,21.67,54840311
21.85,21.98,21.59,21.59,46696146
21.53,21.7,21.4,21.56,43118580
21.59,21.94,21.59,21.69,38753107
21.6,21.65,21.11,21.18,71011604
21.18,21.39,20.78,20.81,44278213
20.8,21.15,20.77,20.99,31159183
20.98,21.15,20.7,21.03,45604049
20.94,21.21,20.0,21.02,30589297
20.99,21.5,20.99,21.18,38600938
21.15,21.37,20.73,20.86,34077838
21.01,21.5,20.73,21.47,50520498
21.4,21.45,21.09,21.26,29185497
21.14,21.47,20.92,21.03,36849556
21.0,21.14,20.49,20.68,43420470
20.57,20.65,20.28,20.29,48507051
20.38,20.56,20.2,20.47,46111249
20.51,20.88,20.4,20.73,47199770
20.58,21.23,20.52,20.98,46861031
21.0,21.3,20.77,20.95,42943151
21.02,21.4,20.91,20.96,45707258
21.13,21.75,21.11,21.39,46478844
21.63,21.65,21.32,21.49,34848983
21.52,21.9,21.5,21.86,49847112
21.89,22.0,21.5,21.75,50528791
21.65,21.89,21.57,21.76,47327723
21.7,21.8,21.41,21.68,79610058
21.36,21.99,20.69,20.75,92992317
20.63,20.66,19.96,20.05,84844588
20.16,20.75,20.1,20.34,71810182
20.38,20.62,19.5,20.56,53759436
20.49,20.54,20.15,20.21,55091467
19.99,20.35,19.96,20.18,60262069
20.17,20.6,20.16,20.29,63571709
20.4,20.94,20.32,20.87,77040998
20.62,20.89,20.5,20.6,55277204
20.62,20.93,20.37,20.37,51076842
20.4,20.73,20.14,20.49,55182431
20.61,20.75,20.28,20.52,41845817
20.54,20.57,20.19,20.31,37766999
20.2,20.23,19.77,19.77,45867420
19.81,20.03,19.51,19.68,56982237
19.68,20.5,19.67,20.5,53319477
20.5,20.8,20.35,20.44,43053307
20.35,20.37,19.88,19.88,36229764
19.92,20.36,19.89,20.17,53469313
20.26,20.27,19.9,19.91,40725057
19.76,20.08,19.41,19.89,71683814
19.9,20.24,19.83,19.97,39833928
19.95,20.0,19.48,19.48,30475405
19.39,19.62,19.31,19.36,47899875
19.4,19.76,19.36,19.61,40554353
19.67,20.23,19.66,20.22,44788665
20.17,20.22,19.9,19.98,41171580
