Open,High,Low,Close,Volume
35.1,35.4,34.8,35.37,33221400
35.35,35.4,35.1,35.32,24017300
35.27,35.35,35.1,35.23,18860400
35.38,35.53,35.19,35.47,22085300
35.4,35.43,35.24,35.38,20716900
35.27,35.31,35.05,35.19,21044000
35.14,35.55,35.1,35.43,22394700
35.45,35.46,34.94,35.0,22159800
34.9,35.25,34.8,35.1,17221300
35.63,35.63,34.82,34.94,16069600
34.9,34.91,34.61,34.79,20206900
34.9,34.9,34.5,34.68,29324700
34.3,34.5,33.22,33.37,88194300
33.53,33.67,33.26,33.29,38814400
33.55,33.55,32.91,32.96,46481000
33.15,33.2,32.65,32.76,51389200
32.93,33.07,32.74,33.02,48855800
32.95,33.02,32.75,32.95,43319000
32.9,33.09,32.7,32.93,35387500
32.9,32.98,32.63,32.75,39702000
32.66,33.19,32.64,33.14,38067400
33.07,33.29,32.88,32.9,30469400
32.8,33.14,32.77,32.85,25828100
32.85,32.89,32.65,32.75,23163900
32.66,32.73,32.21,32.31,36799700
32.31,32.79,32.23,32.74,26757200
32.78,33.04,32.76,32.92,26324200
32.92,33.37,32.87,33.28,26560500
33.2,33.46,33.08,33.25,20007900
33.18,33.54,33.04,33.46,29266400
33.54,33.54,33.26,33.46,18832800
33.44,33.5,33.06,33.35,23893100
33.35,33.61,33.29,33.61,25349200
33.61,33.75,33.22,33.36,19914100
33.55,33.75,33.5,33.64,25724600
33.25,33.46,33.21,33.26,22148500
33.25,33.3,33.02,33.14,18275300
33.22,33.35,33.11,33.32,19328500
33.2,33.3,32.85,32.87,27701000
32.97,33.03,32.7,32.76,24534600
32.7,32.91,32.58,32.85,25139800
32.75,33.34,32.73,33.06,25579500
33.06,33.25,32.95,33.1,21410700
33.04,33.24,33.01,33.15,21748800
33.06,33.53,33.01,33.43,25081600
33.38,33.54,33.16,33.2,24211600
33.28,33.68,33.26,33.65,25770300
33.66,33.73,33.43,33.67,19519300
33.5,33.85,33.48,33.78,19758000
33.78,34.52,33.78,34.42,36577200
34.65,34.7,34.34,34.38,31356500
34.47,34.76,34.4,34.51,40595800
34.54,34.7,34.4,34.5,16126300
34.51,34.69,34.28,34.34,20038900
33.65,34.57,34.34,34.53,16153000
34.45,34.47,34.01,34.12,20583900
34.03,34.12,33.89,33.95,14482600
33.87,33.94,33.69,33.79,15118000
33.71,33.85,33.49,33.6,22907700
33.55,34.04,33.55,33.93,25736600
34.07,34.75,34.05,34.65,43659900
34.74,35.0,34.72,34.78,37386800
34.79,34.99,34.59,34.69,22345200
34.87,34.87,34.32,34.7,21563800
34.65,34.74,34.39,34.42,19544900
34.3,34.55,34.12,34.51,20222500
34.55,34.75,34.01,34.03,23691900
34.06,34.08,33.8,33.92,22954500
33.92,34.07,33.63,34.05,22965700
34.3,34.53,34.17,34.46,26222000
34.19,34.36,33.61,33.89,37669700
33.76,33.76,33.07,33.29,35390600
33.52,33.97,33.21,33.87,33345400
33.95,33.97,33.5,33.89,24626400
33.8,34.18,33.63,34.12,25390900
34.25,34.32,33.68,33.97,29243100
33.81,34.0,33.8,33.93,16405300
34.0,34.06,33.8,33.97,22714700
34.07,34.44,33.88,34.13,23057700
33.9,34.68,33.89,34.43,25278900
34.49,34.78,34.35,34.59,24830300
34.02,34.72,34.32,34.39,17807700
34.39,34.59,34.1,34.48,16449500
34.22,34.67,34.19,34.4,22187400
34.5,34.94,34.48,34.8,21850000
34.94,35.22,34.87,35.16,26062100
35.1,35.24,34.97,35.0,16377400
34.95,35.12,34.9,35.0,16750500
34.94,34.99,34.5,34.7,21285200
34.5,34.67,34.13,34.51,22788700
34.38,34.54,34.18,34.28,22758400
34.1,34.59,34.08,34.56,23050000
34.74,34.92,34.71,34.79,23395100
34.62,34.85,34.4,34.42,25529100
34.49,34.55,34.14,34.15,24158800
34.23,34.5,33.95,34.16,30013000
34.05,34.36,34.02,34.07,26809600
34.1,34.22,33.91,34.01,22094900
33.76,34.38,33.7,34.26,29146300
34.35,34.43,34.02,34.42,20140800
34.47,34.53,34.1,34.33,21190100
34.34,34.37,34.01,34.05,22157000
34.15,34.26,33.97,34.26,30276800
34.3,34.62,34.22,34.55,19625400
34.64,34.81,34.48,34.66,21166600
34.55,34.62,34.18,34.22,18284800
34.4,34.58,34.21,34.55,28871500
34.55,34.92,34.4,34.4,27927100
34.33,34.6,33.94,34.57,37314000
34.52,34.6,33.92,34.07,25694300
34.17,34.27,33.86,33.87,18250600
33.73,34.21,33.71,33.73,31741500
33.7,33.99,33.66,33.9,24080700
33.98,34.24,33.6,34.11,31632100
33.86,34.01,33.65,33.93,33853100
33.95,33.95,33.64,33.72,20461600
33.72,33.82,33.54,33.7,27594800
33.83,33.89,33.44,33.67,30970200
33.27,33.46,33.14,33.24,25779600
33.18,33.37,33.11,33.16,20503000
33.18,33.27,32.92,33.21,19404200
33.05,33.27,32.88,32.88,23560500
32.93,33.04,32.78,32.93,20324800
32.98,33.28,32.88,33.27,28410600
33.33,33.37,32.94,32.96,38886400
33.1,33.37,33.09,33.33,11967000
33.23,33.43,33.15,33.31,25646300
33.31,33.62,33.3,33.5,20029200
33.35,33.51,33.21,33.3,20321200
33.3,33.46,33.1,33.45,15835100
33.37,33.38,32.99,33.26,22385200
33.21,33.22,33.0,33.06,21533500
33.01,33.06,32.56,32.67,31440400
32.29,32.37,32.06,32.11,49234500
32.08,32.43,32.08,32.36,23569200
32.36,32.49,32.25,32.46,26260100
32.58,33.04,32.49,32.88,25494000
32.85,32.94,32.48,32.48,20584900
32.61,32.61,32.2,32.25,29394500
32.48,32.76,32.29,32.62,22863200
32.8,32.81,32.45,32.7,22118200
32.74,32.77,32.48,32.68,21299100
32.75,32.88,32.54,32.65,21630300
32.8,33.23,32.74,33.02,20939000
32.8,32.91,32.68,32.69,22844900
32.65,32.8,32.48,32.56,16692500
32.55,32.81,32.42,32.6,16642500
32.55,32.88,32.43,32.73,19370900
32.91,32.99,32.6,32.8,16006100
32.68,32.83,32.51,32.69,15692700
32.8,32.8,32.2,32.34,23748200
32.48,32.72,32.24,32.28,18217000
32.35,32.78,32.24,32.67,23894200
32.62,32.78,32.42,32.5,15347300
32.71,33.96,32.63,32.82,24949800
33.19,33.28,33.04,33.2,20290300
33.37,33.84,33.32,33.71,23881100
33.7,34.0,33.65,33.92,17563500
33.71,34.0,33.71,34.0,17113100
34.0,34.1,33.77,33.96,12792200
33.9,34.19,33.68,33.96,15866100
33.75,33.87,33.6,33.79,18169500
33.94,34.01,33.75,33.85,14552100
33.72,33.92,33.71,33.84,11658600
33.7,34.0,33.7,33.93,13317500
33.9,34.24,33.9,34.19,18403700
34.2,34.44,34.19,34.27,14385800
34.29,34.32,34.01,34.06,18456500
34.18,34.27,34.02,34.14,19690100
34.08,34.13,33.92,33.97,18110400
33.87,34.05,33.85,33.95,18654300
33.85,34.15,33.83,34.04,29751900
33.9,34.05,33.88,34.01,14342300
33.85,34.43,33.76,34.43,21511300
34.43,34.73,34.38,34.67,22490100
34.7,34.84,34.49,34.84,26909300
34.55,34.86,34.5,34.78,20490600
34.9,35.0,34.72,34.85,33383700
34.65,34.96,34.61,34.87,22906600
34.85,34.86,34.6,34.85,18691000
34.87,35.07,34.65,35.02,24666500
34.9,34.9,34.25,34.44,26426400
34.36,34.5,34.27,34.4,17535500
34.33,34.94,34.33,34.89,22468800
34.9,35.62,34.89,35.44,35879200
35.33,35.65,35.17,35.34,26523100
35.4,35.61,35.22,35.48,19566100
35.42,35.51,35.2,35.3,20445400
35.4,35.71,35.28,35.5,20810200
35.51,35.88,35.46,35.71,33104100
35.67,36.12,35.56,36.1,31772100
36.01,36.48,35.94,36.29,25048400
36.08,36.3,35.88,36.14,18824200
36.14,36.24,35.86,36.16,18367800
36.1,36.36,36.06,36.3,23457300
36.2,36.4,36.03,36.17,19471100
36.25,36.32,36.1,36.22,23401000
35.93,36.11,35.47,35.98,42579300
35.73,35.73,35.34,35.56,31779100
35.35,35.6,35.24,35.56,24926900
35.82,35.84,35.46,35.56,27529800
35.4,35.49,35.14,35.28,26207600
35.4,35.58,35.26,35.47,27306500
35.28,35.69,35.27,35.53,26087600
35.45,35.58,35.34,35.42,21848700
35.55,35.65,35.35,35.61,22101900
35.75,35.79,35.42,35.59,19986200
35.46,35.5,35.17,35.21,29661400
35.22,35.41,35.11,35.2,16484200
35.28,35.35,34.92,35.11,26632800
35.2,35.2,34.85,34.9,24252000
34.88,34.91,34.62,34.71,23411400
34.78,35.0,34.69,34.77,19078000
35.02,35.41,34.9,35.27,26823200
35.35,35.65,35.27,35.54,24410800
35.45,35.75,35.4,35.58,17891600
35.51,35.66,35.25,35.29,18721600
35.3,35.31,35.12,35.17,17989900
35.28,35.66,35.28,35.36,20830600
35.46,35.75,35.18,35.59,28517100
35.51,35.92,35.49,35.79,23772300
35.87,36.13,35.87,35.96,22899700
35.85,36.27,35.78,36.25,30558900
36.17,36.28,35.93,35.98,20054300
35.98,36.0,35.72,35.8,25114800
35.8,36.09,35.72,35.99,18785000
35.85,35.88,35.69,35.69,7261700
35.57,35.75,35.28,35.45,24613300
35.3,35.36,35.05,35.2,24983900
35.25,35.44,35.19,35.35,18155900
35.41,35.5,35.16,35.28,23653800
35.38,35.4,34.96,35.28,23994300
35.43,35.5,35.27,35.39,18838700
35.41,35.5,35.13,35.27,30244300
35.35,35.45,35.07,35.11,40318600
35.16,35.39,35.09,35.16,25610900
35.15,35.36,35.0,35.27,22361800
35.24,35.52,35.05,35.22,30083800
35.21,35.92,35.07,35.64,49791600
35.85,35.92,35.4,35.5,45178300
35.49,36.33,35.36,36.21,43231300
36.28,37.51,36.21,37.36,88384500
37.45,38.13,37.41,38.0,50057500
37.75,38.07,37.75,38.01,31377700
38.13,38.49,38.01,38.15,36918100
38.05,38.06,37.63,37.77,25270300
37.89,37.9,37.51,37.57,15578900
37.6,37.74,37.43,37.71,11997400
37.79,38.03,37.57,37.79,16017800
37.76,37.76,37.45,37.48,16864000
37.48,37.52,37.16,37.21,25274600
37.41,38.15,37.38,37.97,43225000
37.97,38.0,37.45,37.75,31305800
37.57,37.76,37.31,37.56,27027200
37.45,37.67,37.25,37.55,23716200
37.78,37.99,37.36,37.55,24606300
37.38,37.61,37.34,37.56,23996900
37.5,37.96,37.42,37.92,30833700
37.84,38.0,37.67,37.89,25944000
38.0,38.25,37.93,38.11,31118300
38.18,38.28,37.85,37.98,30462900
38.01,38.17,37.26,38.0,41619200
37.15,37.5,36.85,36.95,62909300
37.13,37.33,36.59,36.75,41385700
36.68,36.74,36.38,36.55,35136000
36.7,36.75,36.52,36.64,21458500
36.65,36.7,36.26,36.34,26089600
36.45,36.55,36.01,36.07,25923800
36.07,36.35,36.03,36.19,24952400
36.2,36.34,35.76,36.03,43154600
36.0,36.22,35.83,36.05,36169800
36.18,36.24,35.76,36.23,37869700
36.26,36.4,36.12,36.27,25111900
36.27,36.48,36.2,36.37,26202700
36.4,36.44,36.23,36.31,22730600
36.32,36.35,36.06,36.1,21371700
36.06,36.06,35.6,35.74,33680600
35.71,35.84,35.48,35.53,29808900
35.53,35.88,35.55,35.64,19011936
35.64,36.59,35.64,35.77,22966286
35.93,36.5,35.79,36.47,31908065
36.47,36.47,36.06,36.14,28619150
36.07,36.1,35.87,35.87,31053300
35.86,36.13,35.75,36.11,23545900
35.99,36.1,35.82,35.91,34672700
35.91,35.88,35.31,35.4,37669600
35.4,35.35,35.09,35.1,38160500
35.4,35.38,35.15,35.34,28913542
35.34,36.6,34.5,34.66,63410400
34.8,35.08,34.65,34.91,50731500
34.61,36.84,34.32,35.0,51384815
34.93,35.15,34.7,34.87,45185300
34.74,34.97,34.52,34.55,32914000
34.73,34.84,34.52,34.72,34000975
34.72,34.75,34.32,34.33,38994800
34.6,34.64,34.35,34.45,29125000
34.57,34.64,34.22,34.32,34232884
34.35,34.63,34.01,34.44,30206700
34.27,34.38,34.01,34.09,38898100
34.44,34.4,33.9,34.31,40571132
34.2,34.68,34.11,34.52,35825405
34.52,34.84,34.25,34.36,44822800
34.5,34.67,34.43,34.67,26531520
34.63,34.85,34.5,34.77,28264409
34.77,35.7,34.73,35.48,50436056
35.44,35.84,35.4,35.81,35702380
35.79,35.91,35.6,35.82,33464896
