Open,High,Low,Close,Volume
126.7,129.44,124.23,128.87,6188700
127.35,128.91,126.38,127.09,4862000
126.0,127.32,125.61,127.04,3717600
127.29,129.25,127.29,128.84,4319600
128.5,130.62,128.0,130.39,4723500
130.05,132.95,130.02,132.03,5539800
131.45,133.8,131.42,131.97,4671400
131.4,133.21,131.38,132.25,3725500
132.02,133.66,131.9,133.26,2894900
131.0,133.13,130.59,132.59,3624600
131.06,132.68,131.01,131.85,4305400
132.72,134.82,132.71,133.82,5020700
132.85,134.06,131.25,131.44,5680100
131.64,134.18,131.64,132.87,3849400
132.63,134.09,132.34,133.0,3758000
133.65,134.04,132.46,133.56,3740500
133.01,138.36,133.01,137.4,4808300
137.93,139.75,137.1,138.94,3687900
139.55,140.64,138.71,139.87,3167900
139.73,141.86,138.45,141.25,4908100
141.4,142.95,140.43,141.71,3640600
142.27,143.77,141.4,142.52,3711000
141.55,143.12,140.7,142.74,4213900
142.61,144.1,141.6,142.82,3849300
142.35,143.31,139.48,139.48,5208000
140.1,141.93,139.32,141.14,4481400
141.14,142.85,140.49,140.85,3059500
140.67,141.85,137.8,140.81,4433100
139.65,141.8,139.15,139.65,2155200
141.2,142.32,138.77,141.78,3003200
142.0,145.5,141.4,145.14,4330700
146.1,146.35,144.21,145.9,2847500
146.19,146.22,144.06,145.54,2407300
145.56,145.75,143.01,143.45,2539800
143.45,145.53,143.23,145.53,2674200
145.61,145.61,143.79,143.96,2512500
143.05,145.4,143.05,144.16,2314700
144.81,145.25,143.34,143.82,2282200
143.6,144.16,141.11,141.29,3911700
141.98,143.74,141.56,143.15,2994900
143.07,144.86,142.24,144.0,2902300
143.5,147.48,143.1,146.0,4042700
146.54,147.08,144.31,145.02,2900600
144.37,144.46,143.17,144.28,2820600
143.55,144.67,141.26,142.49,3633100
142.66,143.4,141.2,141.7,2262100
141.63,142.45,140.15,141.53,3247100
141.55,142.95,139.18,140.72,4946200
145.92,149.5,145.62,149.42,11364100
148.3,149.64,147.59,149.0,7557200
149.1,149.69,147.45,147.69,6025900
148.25,151.54,148.03,150.36,6670900
150.05,152.66,149.8,152.18,4896800
151.61,152.0,149.01,149.4,4460800
148.3,152.36,148.3,151.82,3770800
151.17,151.96,150.45,151.67,3852700
151.68,152.57,150.88,152.17,2651700
152.13,155.36,152.13,155.0,4314600
155.01,157.82,154.16,154.16,6481600
154.9,157.57,154.84,156.9,4458100
157.73,159.63,155.71,156.81,4771000
157.0,158.38,156.25,156.96,3298500
157.99,159.88,156.92,158.12,3979900
158.12,161.36,158.12,161.0,5088900
160.5,161.92,160.0,160.75,4193600
160.07,162.07,160.07,162.04,4180900
162.04,163.16,159.89,161.02,4964600
162.5,164.05,161.45,162.46,4471400
163.0,163.3,158.51,159.15,4963300
159.63,160.3,158.4,159.52,3434000
158.45,159.69,158.2,159.43,2217100
160.25,163.21,160.0,161.94,3381700
162.75,166.18,161.32,165.55,4829800
164.55,167.57,163.6,167.05,4466200
166.06,169.31,166.06,168.55,4894400
168.62,168.66,165.32,165.89,3591500
165.5,166.27,163.5,165.35,3432400
165.35,165.6,161.76,162.8,3361400
163.5,164.65,162.2,163.4,3032600
163.35,165.79,162.1,163.97,4063900
163.81,164.89,158.65,160.29,5349000
160.3,161.67,156.08,156.45,5652300
157.6,160.0,157.12,158.83,3710800
159.5,159.85,157.75,159.15,2521200
159.16,160.33,158.0,158.04,2554600
159.75,164.6,159.69,164.39,3751400
164.39,166.55,162.2,163.53,2395700
163.75,166.26,163.7,165.75,2628300
164.85,165.41,162.05,164.09,3215900
164.38,164.49,158.6,159.28,3640200
158.75,159.7,156.07,156.11,4579700
