Open,High,Low,Close,Volume
25.19,25.64,24.9,25.57,56409085
25.6,25.94,25.59,25.91,46189650
25.93,26.47,25.91,26.27,54893195
26.48,26.63,26.21,26.31,45703307
26.39,26.51,26.09,26.47,39461729
26.29,26.41,25.92,26.12,47034594
26.13,26.33,25.9,26.14,53005009
26.05,26.52,25.87,25.97,54026675
25.96,26.18,25.54,25.79,46311963
25.59,25.75,25.32,25.52,89043324
22.87,23.06,22.36,22.6,282104769
22.8,22.87,22.39,22.4,196361139
22.44,22.47,21.75,21.76,155494771
21.92,21.93,21.1,21.35,155149599
21.53,21.59,21.24,21.28,107260809
21.4,21.42,21.1,21.21,110327101
21.4,21.75,21.27,21.49,101993203
21.75,21.9,21.55,21.67,75189388
21.83,21.93,21.59,21.65,60422489
21.69,21.71,21.25,21.26,79350790
21.24,21.59,21.23,21.55,71661338
21.56,21.68,21.18,21.2,87510771
21.14,21.17,20.73,20.74,101422619
20.85,20.85,20.5,20.61,66862028
20.62,20.94,20.52,20.67,95326012
20.78,20.84,20.54,20.67,77626359
20.77,21.25,20.72,21.0,81808399
21.02,21.34,20.81,21.29,83023221
21.18,21.44,21.07,21.13,65892019
21.18,21.47,21.13,21.37,60129138
21.35,21.47,21.21,21.35,67234473
21.36,21.45,21.18,21.35,70979098
21.0,21.04,20.56,20.61,116649006
20.66,20.74,20.5,20.62,67232626
20.42,20.45,19.9,20.15,138570653
20.18,20.49,19.88,20.29,85301464
20.19,20.53,20.13,20.36,73157067
20.47,20.79,20.43,20.52,87190140
20.55,21.01,20.5,20.6,93254610
20.73,21.0,20.67,20.8,80769883
20.68,20.84,20.38,20.49,86247427
19.97,20.48,19.86,20.32,202825605
20.43,20.56,20.23,20.3,81747986
20.15,20.2,19.83,20.06,90713524
20.01,20.19,19.82,20.01,82857688
20.05,20.16,19.73,19.75,69752665
19.83,20.02,19.78,19.85,61554985
19.95,20.5,19.69,19.73,80534558
19.73,19.9,19.64,19.76,69377444
19.79,19.97,19.73,19.92,69811288
20.05,20.08,19.64,19.65,66074243
19.75,19.77,19.4,19.54,110841841
19.45,19.95,19.45,19.62,58655159
19.79,20.32,19.6,19.78,124284549
19.66,20.04,19.6,19.98,84953852
19.98,20.16,19.69,19.7,84379513
19.75,19.82,19.31,19.6,60452842
19.62,19.92,19.62,19.75,60292532
19.75,19.86,19.56,19.58,72698860
19.61,19.96,19.51,19.82,81242993
19.9,20.03,19.65,19.7,70656347
19.78,19.88,19.35,19.46,86898719
19.68,19.7,19.34,19.35,73361140
19.39,19.5,19.25,19.3,67112248
19.34,19.53,19.28,19.48,74324499
19.49,19.6,19.33,19.38,51711857
19.46,19.56,19.24,19.24,54545368
19.3,19.47,19.25,19.36,52175773
19.42,19.46,19.12,19.16,60191778
19.14,19.27,19.1,19.12,44103022
19.19,19.59,19.17,19.45,77395731
19.41,20.0,18.99,19.19,76275896
19.26,19.48,18.6,19.39,78096947
19.32,19.6,19.2,19.56,104032549
19.77,19.94,19.4,19.45,127129665
19.52,20.0,19.02,19.06,92187769
18.5,19.25,18.9,18.91,67613681
18.94,19.2,18.75,19.15,90284045
19.15,19.58,19.12,19.49,85363998
19.39,20.2,19.2,20.08,134533918
19.99,20.27,19.91,19.98,89979982
20.06,20.16,19.46,19.49,75872327
19.64,19.72,19.51,19.59,52922918
19.52,19.87,19.12,19.16,69940646
19.28,19.45,19.21,19.34,42448062
19.43,19.65,19.37,19.51,51090856
19.64,20.22,19.64,20.11,102807903
19.93,21.0,19.79,19.9,66292928
19.85,19.98,19.5,19.58,60607065
19.58,19.6,19.21,19.36,56989523
19.28,19.52,19.03,19.04,66626679
19.06,19.35,19.0,19.32,62478399
19.26,19.35,18.93,19.06,67088571
18.96,19.02,18.65,18.66,83398127
18.73,18.89,18.49,18.65,76210767
18.0,18.48,17.94,18.36,189170681
18.13,18.45,17.97,18.01,84591324
18.13,18.27,17.89,17.95,89362200
18.01,18.06,17.76,17.89,108900986
17.97,18.06,17.74,18.05,68218593
18.13,18.31,18.01,18.22,61157749
18.21,18.22,17.77,17.81,65610135
17.89,18.19,17.77,18.02,76175405
18.05,18.15,17.79,18.04,77001443
18.02,18.31,17.96,18.23,71259748
18.26,18.35,17.89,17.98,63922943
18.05,18.06,17.67,17.79,82309918
17.78,17.79,17.33,17.39,109004601
17.24,17.36,17.05,17.11,114392663
17.11,17.26,17.1,17.16,83419639
17.25,17.35,16.75,16.86,64680003
16.79,17.29,16.75,17.12,116065724
17.49,17.85,17.49,17.73,117605069
17.8,18.17,17.77,18.12,71509458
18.06,18.47,18.04,18.3,83664667
18.51,18.64,18.2,18.24,61511966
18.28,18.41,18.07,18.15,50890101
18.22,18.6,18.2,18.4,55137316
18.44,18.54,18.15,18.25,45674468
18.25,18.29,18.0,18.0,48909324
18.15,18.33,18.12,18.28,36205745
18.65,18.7,18.05,18.05,61133199
18.12,18.71,18.07,18.66,65728930
18.76,19.36,18.67,19.32,76684313
19.28,19.32,18.94,19.0,54048819
19.27,19.39,19.14,19.36,25048164
19.2,19.26,18.74,18.75,51646897
18.81,18.94,18.75,18.85,35027557
18.71,18.95,18.5,18.56,57549276
18.64,18.72,18.11,18.18,43233752
18.06,18.67,18.0,18.67,77150492
18.57,18.58,17.87,17.88,76732149
17.81,18.08,17.69,17.72,78659136
17.72,18.1,17.68,17.88,65420410
17.84,18.12,17.67,17.84,63856457
17.95,18.27,17.63,18.21,69046826
18.25,18.64,18.05,18.49,86712084
17.97,18.0,17.07,17.1,136123930
17.0,17.4,16.84,17.15,82610864
17.18,17.66,17.15,17.48,54854437
17.48,17.77,17.31,17.54,47364274
17.59,17.74,17.25,17.5,58198996
17.74,17.88,17.42,17.47,54400721
17.6,18.26,17.58,18.18,67307423
18.08,18.16,17.98,18.0,42870255
17.89,17.89,17.5,17.66,39668712
17.66,17.79,17.56,17.59,41677210
17.49,17.5,17.22,17.33,59754367
17.61,17.67,17.26,17.49,52990041
17.38,17.49,17.26,17.32,32862423
17.45,17.65,17.29,17.36,45419604
17.61,17.83,17.34,17.4,56904467
17.36,17.82,17.3,17.75,56530806
17.66,17.79,17.36,17.41,41435903
17.54,18.04,17.53,17.87,61412948
18.17,18.18,17.94,18.13,49996830
18.27,18.69,18.13,18.61,68499341
18.68,18.7,18.34,18.56,63940285
18.4,18.53,18.33,18.4,61895961
18.3,18.35,18.08,18.25,55186882
18.17,18.41,18.08,18.34,67406139
18.48,18.56,18.24,18.38,58408017
18.38,18.57,18.31,18.56,48188899
18.45,19.0,18.43,18.9,67067807
19.06,19.45,19.02,19.38,68406397
19.46,19.7,19.21,19.68,74642746
19.63,20.0,19.56,19.84,70881706
19.82,19.84,19.53,19.57,46223153
19.9,19.95,19.55,19.88,68307525
19.95,20.02,19.64,19.99,80214794
19.63,19.82,19.27,19.31,76694872
19.23,19.5,19.06,19.22,76851279
19.26,19.54,19.2,19.45,49941983
19.25,19.56,19.12,19.4,57210547
19.38,19.87,19.32,19.75,58642784
19.78,19.99,19.6,19.83,63948683
19.75,19.82,19.5,19.78,53503523
19.92,19.96,19.49,19.51,71503770
19.46,19.75,19.44,19.65,54075872
19.65,19.7,19.24,19.42,62046384
19.51,19.69,19.44,19.49,60914678
19.45,19.66,19.14,19.19,59117791
19.18,19.36,19.03,19.07,48776454
19.17,19.51,19.03,19.41,56047520
19.39,19.98,19.32,19.96,96076398
20.06,20.75,20.05,20.39,131905881
20.46,20.83,20.45,20.77,98065854
20.9,20.95,20.52,20.57,73310156
20.56,20.75,20.4,20.44,51732941
20.4,20.79,20.17,20.57,80573391
20.5,20.88,20.49,20.82,79483726
20.8,20.98,20.66,20.78,53736280
20.61,20.7,20.41,20.63,63557171
20.52,20.79,20.46,20.62,46483360
20.53,21.02,20.42,20.89,73987789
20.76,21.28,20.74,20.89,106872232
21.11,21.55,20.95,21.49,81948550
21.4,21.85,21.38,21.6,78952450
21.93,22.03,21.56,21.61,93784779
21.19,21.23,20.83,20.9,118131536
21.6,21.63,21.03,21.11,115227261
21.0,21.19,20.63,21.03,73699091
21.18,21.45,21.05,21.33,61152170
21.28,21.6,21.12,21.45,53510627
21.46,21.84,21.45,21.62,62854139
21.55,21.84,21.53,21.72,53323731
21.75,21.83,21.61,21.77,44056056
21.68,21.77,20.9,21.1,99924962
21.02,21.33,20.96,21.26,41385978
21.32,21.43,21.19,21.34,55497699
21.37,21.42,20.96,21.02,57889942
20.64,20.92,20.57,20.68,68206545
20.66,20.69,20.35,20.51,47933517
20.42,20.91,20.32,20.82,47836389
20.78,21.17,20.73,20.8,48494459
20.72,20.9,20.5,20.71,52958244
20.82,20.97,20.38,20.42,52838090
20.49,20.64,20.42,20.58,31872857
20.61,21.07,20.58,21.0,45848191
21.17,21.93,21.11,21.88,74411577
21.93,22.37,21.76,22.32,104324302
22.33,22.41,22.06,22.33,65576199
22.19,22.5,21.84,22.1,56842857
21.87,22.35,21.5,22.27,65803153
22.19,22.27,21.38,21.57,87561286
21.81,21.84,21.54,21.73,41650938
21.46,21.75,21.42,21.59,23101408
21.47,21.49,20.95,21.02,52731215
20.91,21.13,20.76,20.98,54036062
21.21,21.45,21.1,21.24,55214055
21.24,21.49,21.07,21.4,47499590
21.32,21.4,20.6,20.93,65123355
21.09,21.45,20.81,21.22,62804577
21.21,21.4,21.11,21.12,33754637
21.14,21.21,20.83,20.9,46987904
21.01,21.25,20.64,20.65,55827433
20.66,20.85,20.54,20.68,41740947
20.62,20.92,20.6,20.7,37862488
20.68,20.84,20.47,20.73,46230618
20.88,20.89,20.66,20.7,48000860
20.73,21.14,20.41,20.77,49486305
20.98,21.2,20.86,20.96,81382940
21.05,21.3,20.66,20.84,48976493
20.65,20.72,20.46,20.66,47460553
20.7,20.94,20.57,20.6,31375997
20.6,20.67,20.21,20.37,49467421
20.36,20.43,20.08,20.08,35353191
20.03,20.29,20.03,20.15,30552311
20.26,20.5,20.22,20.4,31901630
20.4,20.48,20.33,20.42,30821295
20.34,20.53,20.23,20.25,37138843
20.45,20.88,20.14,20.35,69803965
20.63,21.33,20.56,21.17,89514297
21.09,21.15,20.76,21.1,64596375
21.25,21.34,20.95,21.01,52844607
21.18,21.21,20.86,21.03,54414980
