Open,High,Low,Close,Volume
39.83,40.36,39.3,40.19,12839400
39.78,40.14,39.42,39.62,13491800
39.61,39.81,39.5,39.74,8109400
39.92,40.24,39.55,40.02,7966900
39.88,40.72,39.88,40.67,16575200
40.5,40.75,40.07,40.73,16614900
40.73,40.87,40.61,40.7,12333100
40.25,40.42,39.9,39.95,12230400
39.78,40.03,39.65,39.92,10961200
39.48,39.82,39.41,39.71,9941400
39.11,39.71,38.95,39.35,17908500
39.34,39.47,38.8,39.06,12092300
38.81,38.82,37.88,38.05,20907200
38.14,38.7,37.97,38.27,13172400
38.27,38.53,38.09,38.11,9781500
38.16,38.68,38.06,38.48,14248700
38.71,39.81,38.71,39.59,16187900
39.25,40.04,39.17,39.75,12929400
39.52,39.97,39.42,39.85,8701700
40.03,40.19,39.74,39.75,15582500
39.88,40.22,39.67,39.88,11429800
39.88,40.16,39.59,39.99,10309100
39.45,40.1,39.4,39.53,10440700
39.4,39.6,39.31,39.44,6591900
39.2,39.6,39.05,39.26,8592600
39.28,39.62,39.25,39.6,10065400
39.53,40.03,39.44,39.77,8496300
39.62,39.98,39.29,39.92,8790500
39.77,40.31,39.61,39.77,7791600
39.66,40.33,39.65,40.1,12904100
39.97,40.5,39.97,40.32,12686700
40.45,40.82,40.24,40.82,11572000
40.66,40.82,40.4,40.78,11518600
40.63,40.95,40.55,40.7,7324600
40.89,41.55,40.74,41.41,13168400
41.26,41.57,41.0,41.11,8739500
40.94,41.83,40.87,41.66,9294300
41.55,41.95,41.55,41.58,8542000
41.59,41.6,40.97,41.14,11716200
41.16,41.94,41.13,41.63,10547700
41.63,41.84,41.37,41.66,10939800
41.5,42.09,41.43,41.59,12290600
41.48,41.81,41.14,41.43,9877500
41.02,41.66,41.02,41.48,9441300
41.49,41.74,41.2,41.6,9147100
41.5,41.74,40.96,41.05,9767500
41.06,41.4,40.87,41.13,11175700
41.45,41.48,40.98,41.06,10626100
41.26,41.5,41.25,41.38,16237100
41.16,41.34,40.99,41.22,14017900
41.42,41.53,41.26,41.32,10045600
41.35,41.5,41.25,41.4,13042400
41.31,41.55,41.15,41.45,9418000
41.27,41.71,41.04,41.2,13473600
41.19,42.2,41.0,42.05,13516100
42.05,42.2,41.82,42.04,12986800
41.99,42.43,41.91,42.1,7213400
41.86,42.2,41.78,42.11,7836200
41.93,42.21,41.5,41.56,15562700
41.73,42.08,41.31,41.68,7822900
41.54,42.04,41.12,41.53,9324800
41.78,41.94,41.5,41.64,10371400
41.95,42.46,41.88,41.93,10872900
41.6,42.46,41.5,42.27,14010100
42.17,42.66,42.04,42.54,9554600
42.39,42.47,42.02,42.29,6226600
42.25,42.44,41.63,41.7,10754100
41.93,42.26,41.69,41.88,7409300
42.0,42.35,41.48,41.61,8828400
41.83,41.98,41.7,41.9,5873900
41.96,42.42,41.91,42.19,6554700
42.28,42.38,41.83,42.0,7986200
42.22,42.75,42.07,42.6,11079700
42.4,42.99,42.3,42.62,9448100
42.5,42.95,42.38,42.6,8435900
42.88,42.88,42.4,42.5,13733100
42.51,42.78,42.16,42.68,9475900
42.53,42.82,42.11,42.22,11649000
42.39,42.74,42.16,42.66,10647800
42.66,44.06,42.53,43.95,17465000
44.1,45.9,44.1,45.38,28262300
45.38,45.59,44.73,44.78,16235400
45.0,45.51,44.91,45.5,12964600
45.59,45.7,45.22,45.46,15589700
45.51,45.81,45.5,45.69,10550700
45.91,46.8,45.69,46.65,17342800
46.6,46.65,46.04,46.1,10284000
45.94,46.35,45.85,46.02,7931000
45.74,46.12,45.51,45.92,7215600
45.92,45.96,44.96,45.15,10533100
44.95,44.96,44.26,44.32,18205000
44.33,44.75,44.25,44.54,11232300
44.6,44.8,44.13,44.32,8265300
43.8,44.05,43.09,43.25,13005300
43.29,43.41,42.69,42.74,10905200
42.9,43.05,42.5,42.75,13343200
42.75,42.95,42.34,42.64,14817200
