Open,High,Low,Close,Volume
20.4,20.5,20.18,20.45,13640800
20.5,20.54,20.33,20.41,19993200
20.36,20.56,20.29,20.51,16613400
20.53,20.78,20.43,20.7,17122800
20.74,20.84,20.62,20.8,13819800
20.59,20.86,20.59,20.82,13849800
20.83,20.9,20.74,20.84,10591600
20.64,20.82,20.64,20.72,17086000
20.69,20.78,20.52,20.66,10548400
20.54,20.64,20.45,20.52,11574000
20.5,20.5,20.3,20.44,12945200
20.47,20.57,20.3,20.46,10907600
20.42,20.44,19.68,20.04,18972400
20.0,20.33,20.0,20.25,13234200
20.6,20.6,20.4,20.4,15888400
20.57,20.6,20.45,20.57,13699000
20.64,20.79,20.58,20.74,14573200
20.74,21.0,20.61,20.98,13646400
20.92,20.98,20.77,20.88,12143400
20.87,20.87,20.6,20.69,13115000
20.6,20.77,20.52,20.75,12963400
20.66,20.76,20.49,20.62,12468400
20.51,20.62,20.26,20.44,12538000
20.42,20.5,20.32,20.47,13500600
20.7,20.74,20.3,20.52,20575400
20.63,20.64,20.34,20.62,18186000
20.56,20.71,20.45,20.5,15045200
20.46,20.71,20.36,20.58,12782000
20.69,20.69,20.32,20.37,11791600
20.5,20.72,20.47,20.67,14049800
20.7,20.72,20.56,20.67,13561600
20.64,20.81,20.58,20.8,14381400
20.82,20.95,20.62,20.9,14525200
20.9,21.02,20.8,20.92,20793200
21.02,21.08,20.96,21.04,11821200
21.09,21.16,20.97,21.02,9523400
21.0,21.17,20.92,21.12,10691400
21.14,21.26,21.09,21.26,13200000
21.26,21.29,20.96,20.98,16189400
20.95,21.19,20.92,21.16,11066800
21.04,21.08,20.85,20.96,11537800
20.82,21.02,20.78,20.9,10586800
20.88,21.1,20.85,20.98,10945800
20.98,21.02,20.85,20.9,11242600
20.86,21.26,20.85,21.12,13843800
21.06,21.3,21.06,21.2,13296600
21.31,21.46,21.26,21.38,15399000
21.3,21.4,21.2,21.24,13502200
21.24,21.44,21.22,21.4,11418800
21.34,21.41,21.28,21.36,12805400
21.36,21.38,21.26,21.34,14209000
21.34,21.42,21.29,21.4,16509200
21.41,21.5,21.34,21.44,11851600
21.4,21.43,21.26,21.38,14625800
20.9,21.48,21.34,21.38,16481600
21.38,21.42,21.1,21.2,12053200
21.18,21.38,21.16,21.33,9725200
21.28,21.32,21.16,21.2,9339200
21.16,21.24,21.06,21.08,10910400
21.05,21.18,21.01,21.08,8702200
20.99,21.13,20.95,21.06,13586200
21.06,21.1,20.9,20.94,14535800
21.05,21.12,20.9,20.94,11291600
20.91,21.06,20.84,21.04,9258000
21.02,21.04,20.88,20.98,13148800
21.0,21.0,20.79,20.84,10988400
20.9,20.94,20.66,20.68,11897200
20.68,20.75,20.61,20.74,7730600
21.0,21.0,20.54,20.64,11085200
20.63,20.67,20.45,20.58,10011800
20.58,20.72,20.54,20.63,9029000
20.65,20.7,20.43,20.52,9270800
20.52,20.74,20.52,20.65,11528400
20.74,21.06,20.7,20.84,16677600
20.87,21.12,20.78,20.9,12246600
21.0,21.01,20.84,20.92,13110600
20.88,20.95,20.76,20.78,12466400
20.78,20.81,20.62,20.68,12600800
20.68,20.89,20.68,20.86,12248600
20.82,21.07,20.8,21.02,13386000
21.0,21.04,20.92,20.98,11529400
21.04,21.1,20.96,20.98,13265600
21.05,21.15,21.0,21.12,10551400
21.08,21.12,20.92,20.96,14313200
20.98,21.06,20.9,21.04,13301800
21.14,21.44,21.02,21.36,18958000
21.42,21.87,21.41,21.68,27358400
21.59,21.84,21.59,21.84,13989600
21.84,21.88,21.74,21.79,14902400
21.77,21.8,21.64,21.69,16969400
21.64,21.7,21.56,21.59,14767800
21.6,22.0,21.52,21.97,18626600
22.07,22.1,21.82,21.92,16980000
21.88,21.98,21.6,21.78,19864600
21.79,21.96,21.68,21.78,15375800
21.87,21.88,21.64,21.82,16014600
21.78,21.86,21.69,21.8,15714200
21.86,21.88,21.76,21.79,13723000
21.76,22.08,21.72,22.02,20534800
22.1,22.18,21.92,22.18,14125400
22.24,22.38,22.11,22.24,12337000
22.1,22.16,21.82,21.84,16652400
21.85,22.04,21.78,22.02,14599800
21.99,22.02,21.84,21.96,9973400
21.88,22.06,21.8,21.94,12120400
21.9,21.94,21.7,21.72,11428600
21.8,21.86,21.6,21.75,16578600
21.81,21.9,21.68,21.69,11579400
21.74,21.76,21.52,21.7,23080400
21.9,21.92,21.72,21.78,13947800
21.84,21.84,21.64,21.66,13990800
21.59,21.62,21.38,21.46,18118600
21.42,21.56,21.24,21.4,12402600
21.48,21.56,21.26,21.52,14639400
21.46,21.68,21.46,21.6,16754800
21.6,21.66,21.36,21.46,11684600
21.45,21.56,21.35,21.4,11306000
21.34,21.57,21.34,21.5,9266400
21.51,21.52,21.31,21.44,8048600
21.37,21.51,21.35,21.38,7681400
21.36,21.44,21.24,21.42,9625600
21.34,21.39,21.14,21.26,12008800
21.22,21.28,21.18,21.21,10224600
21.28,21.58,21.21,21.53,14379800
21.62,21.74,21.51,21.51,22582200
21.6,21.72,21.56,21.68,5875600
21.6,21.68,21.42,21.51,11838800
21.59,21.8,21.52,21.66,10246000
21.62,21.74,21.56,21.59,5874000
21.65,21.88,21.62,21.82,9588800
21.85,22.04,21.81,21.9,15525400
21.92,21.94,21.72,21.78,8300400
21.75,21.82,21.42,21.55,12870400
21.5,21.59,21.18,21.32,13775200
21.28,21.42,21.27,21.35,11196200
21.68,21.86,21.54,21.78,23952200
21.94,21.96,21.78,21.91,16157400
21.9,21.98,21.82,21.92,10663000
22.16,22.16,21.88,21.95,18400200
21.94,22.08,21.94,22.0,11459200
21.94,22.2,21.86,22.12,10983800
22.05,22.32,22.02,22.22,16632800
22.28,22.32,22.11,22.16,12820000
22.24,22.34,22.16,22.26,12831000
22.26,22.4,22.22,22.25,12866200
22.25,22.32,22.12,22.16,9094400
22.14,22.24,22.1,22.16,9120600
22.1,22.18,21.94,22.01,11378000
22.1,22.1,21.88,21.92,9781800
21.92,21.98,21.74,21.8,10029400
21.9,22.0,21.85,21.9,8162800
21.98,22.05,21.86,21.88,7720200
21.88,22.09,21.86,21.95,8430600
21.86,21.94,21.8,21.88,5677400
22.0,22.08,21.94,22.0,8528800
22.12,22.18,22.06,22.16,9501200
22.2,22.23,22.1,22.16,9839400
22.08,22.16,21.98,22.09,9517200
21.88,22.21,21.88,22.16,9963200
22.18,22.27,22.04,22.1,8328400
22.14,22.26,22.06,22.2,8017800
22.16,22.22,22.06,22.16,7568600
22.15,22.3,22.09,22.26,10326200
22.22,22.31,22.18,22.26,5025800
22.26,22.49,22.18,22.36,8918600
22.34,22.58,22.32,22.57,14100000
22.61,22.7,22.46,22.48,12119200
22.56,22.57,22.4,22.4,7306800
22.49,22.56,22.44,22.54,7852000
22.5,22.54,22.4,22.49,8145000
