Open,High,Low,Close,Volume
23.65,23.92,23.6,23.78,38052400
23.97,24.57,23.95,24.55,43972000
24.55,24.75,24.44,24.58,42601900
24.7,24.95,24.63,24.85,28523900
24.98,24.99,24.52,24.85,28080300
24.73,24.74,24.32,24.44,28630300
24.6,24.83,24.55,24.75,28433800
24.77,24.85,24.47,24.58,27020300
24.69,24.79,24.44,24.67,20972000
24.51,24.53,24.07,24.28,32153700
24.19,24.23,23.85,24.09,33545600
24.91,25.12,24.63,24.97,57615600
24.97,25.07,24.62,24.71,51669200
24.8,24.99,24.75,24.89,28819100
25.0,25.03,24.5,24.59,29394200
24.72,24.87,24.29,24.83,26369500
24.95,25.34,24.79,25.05,41260900
25.45,26.08,25.35,25.99,61031700
26.15,26.34,25.76,25.94,32832700
26.02,26.07,25.51,25.68,31365100
25.75,26.12,25.68,26.05,28377800
26.1,26.13,25.55,25.78,24681700
25.78,25.78,25.27,25.28,27503200
25.21,25.32,24.95,25.09,21774400
25.05,25.7,25.04,25.18,28753100
25.65,26.4,25.6,26.37,62030800
26.37,26.84,26.24,26.34,46327300
26.0,26.08,25.35,25.68,57863000
25.4,25.66,25.19,25.58,24917300
25.53,25.64,25.44,25.5,31597500
25.47,25.65,25.22,25.61,28022900
25.6,25.86,25.37,25.81,22623100
25.8,25.82,25.45,25.82,25053000
25.7,25.88,25.59,25.64,20905400
25.69,26.26,25.68,26.19,29163200
26.22,26.35,26.04,26.14,21884700
26.1,26.48,26.08,26.37,19253200
26.4,26.75,26.36,26.6,31139600
26.6,26.6,26.14,26.19,29642600
26.1,26.3,25.82,26.26,26933400
26.0,26.27,25.9,26.06,19967000
25.88,26.45,25.88,26.34,29213500
26.16,26.4,25.94,25.98,21045700
26.04,26.27,25.82,26.19,22852100
26.1,26.24,25.99,26.17,25785300
26.25,26.4,26.13,26.19,18755500
26.34,26.38,25.91,26.08,22755900
26.0,26.04,25.87,25.97,25587400
25.9,26.0,25.77,25.97,23505400
25.99,26.04,25.85,25.95,18394500
25.93,26.15,25.87,26.05,22809600
26.2,26.48,26.09,26.39,32125100
26.39,26.6,26.3,26.47,18234100
26.5,26.53,26.14,26.31,25516700
26.35,26.52,26.24,26.4,22609900
26.4,26.47,25.96,26.16,18097800
26.24,26.24,25.85,26.02,17846100
26.0,26.02,25.69,25.81,21305600
25.73,25.81,25.3,25.35,24308200
25.42,25.55,25.11,25.24,27871100
25.24,25.43,25.2,25.2,23322300
25.24,25.37,24.83,24.92,24385500
25.09,25.29,25.03,25.12,20405300
25.23,25.24,25.01,25.1,21795300
25.04,25.34,25.03,25.17,17208400
25.02,25.11,24.91,25.09,24630700
25.1,25.13,24.65,24.69,20901200
24.7,24.81,24.51,24.65,18306500
24.65,24.76,24.18,24.35,23613300
24.32,24.53,24.29,24.42,17777100
24.25,24.61,24.25,24.5,18306000
24.42,24.55,24.34,24.44,17250600
24.42,24.93,24.42,24.93,25626900
25.07,25.07,24.62,24.82,32855600
24.73,24.99,24.71,24.95,24957300
24.91,25.07,24.75,24.87,24964100
24.72,24.84,24.54,24.79,22803200
24.7,24.88,24.68,24.72,29488500
24.65,25.05,24.65,24.97,30913600
24.97,25.23,24.86,24.86,23856500
24.9,25.44,24.86,25.33,27535700
25.5,25.59,24.99,25.12,26476800
25.05,25.39,25.01,25.18,23045900
25.27,25.6,25.11,25.17,24999400
25.3,25.45,25.17,25.22,26607400
25.33,25.57,25.27,25.41,20104900
25.4,25.7,25.38,25.54,20666300
25.5,25.72,25.43,25.51,16592400
25.29,25.3,24.87,25.04,28633900
25.27,25.39,24.7,24.81,29035500
24.7,24.86,24.42,24.5,28296900
24.52,24.93,24.52,24.89,24852800
24.7,25.01,24.6,24.9,22617400
24.71,24.95,24.15,24.27,30841100
24.21,24.34,23.85,23.89,31992400
24.0,24.1,23.6,23.82,34600500
23.78,24.14,23.7,23.72,28372900
23.72,24.13,23.72,23.99,29718200
23.99,24.0,23.63,23.84,25141400
23.85,23.9,23.6,23.85,23895500
24.04,24.1,23.77,24.0,23025900
23.9,24.0,23.54,23.58,24227500
23.66,23.8,23.52,23.66,23891900
