Open,High,Low,Close,Volume
62.6,62.6,60.6,61.73,8070600
61.89,62.2,61.6,61.88,5587100
62.23,62.88,61.49,61.69,5626000
62.75,62.93,62.03,62.9,5577800
62.9,62.9,61.26,61.4,8831000
61.45,62.77,61.44,62.61,6238100
62.6,62.7,61.62,61.85,5519600
61.9,62.91,61.74,62.53,5374100
61.34,61.34,59.71,60.94,11005800
60.2,61.0,59.98,61.0,6333200
61.0,61.76,60.58,61.22,7132400
61.31,62.1,59.29,61.47,13390900
61.4,61.4,59.39,59.48,10091900
59.51,59.83,57.72,57.99,9611600
58.05,58.7,58.05,58.31,8251000
58.73,58.88,57.45,57.98,6530200
57.99,58.52,57.12,57.89,9954400
58.24,58.78,58.01,58.54,6419500
58.4,58.7,57.65,57.77,6739700
58.17,59.95,58.01,59.42,10655300
59.3,59.75,59.05,59.5,7522900
59.73,59.74,58.75,59.36,6235200
59.36,59.89,59.09,59.62,5392600
59.34,59.6,58.25,58.54,4891700
58.5,59.08,57.7,57.73,5175800
57.52,58.08,55.25,57.59,7320600
58.5,59.19,58.04,58.08,5747900
58.15,58.78,57.4,58.6,4224000
58.5,58.78,58.17,58.59,3357500
58.5,59.47,58.5,59.45,4771900
59.4,59.75,58.72,59.0,4335400
59.24,59.26,58.13,58.5,5087600
58.25,58.4,57.83,58.0,7065300
58.8,59.04,57.94,58.17,4689100
58.34,59.8,58.34,59.54,5297100
59.88,59.88,59.37,59.45,4772500
59.1,59.46,58.51,58.89,5348000
59.0,59.16,58.82,58.94,3247000
58.93,59.02,57.87,58.23,5301200
58.05,58.46,57.84,58.43,5303500
58.0,58.22,57.22,57.58,5964400
57.35,57.67,56.49,56.6,6531200
56.3,56.78,56.24,56.7,5801500
56.22,57.32,56.1,56.42,6308900
56.43,57.35,56.32,57.2,6063300
57.5,57.86,56.28,56.34,5283300
56.39,56.79,56.15,56.17,6984200
56.06,56.1,53.85,55.73,12402500
55.45,56.94,55.45,56.89,7643900
56.9,57.52,56.55,57.34,6608100
57.29,57.34,56.46,56.57,6071400
56.9,56.91,56.15,56.69,6645800
56.58,56.91,56.15,56.53,4382800
56.74,56.91,55.56,56.21,5928200
55.0,56.91,55.0,56.64,4434600
56.25,56.55,55.85,56.37,5577700
56.18,56.78,55.45,55.78,4957300
55.46,55.75,54.83,54.93,11124900
54.56,54.84,53.2,54.32,12204700
55.63,56.55,55.3,55.98,9508000
55.75,56.97,55.72,56.26,8091500
56.26,56.65,55.5,55.86,9772100
56.6,56.6,55.34,55.47,7603600
55.4,55.7,55.0,55.3,6942200
55.17,55.73,55.05,55.3,5679500
55.35,55.37,53.72,54.51,12067200
54.65,55.23,53.65,53.69,8075300
53.6,53.63,51.43,52.43,19082200
52.65,52.81,50.88,51.55,14552700
51.55,53.57,51.55,53.46,12100500
53.46,53.8,53.06,53.5,7685500
53.03,53.03,51.45,51.67,10399800
52.7,52.93,49.51,49.67,41603500
49.67,50.0,47.44,49.18,41951200
49.35,50.78,49.05,50.12,19329200
50.51,50.75,49.48,49.57,8944200
49.48,50.43,49.1,50.16,11713700
50.2,50.55,49.19,49.36,8586100
49.59,50.0,48.8,48.97,12378400
48.49,48.49,46.56,47.75,29902900
48.0,49.9,47.92,49.74,15282300
49.3,50.22,49.3,49.8,10991600
49.3,50.0,48.45,48.58,11589600
48.31,48.32,46.32,46.61,23876900
46.6,47.15,46.08,46.53,11609300
46.69,46.88,45.92,46.39,13243800
46.15,46.65,44.88,45.08,19360600
44.68,44.8,43.31,43.8,30917000
44.79,46.43,44.31,46.17,29522100
45.1,45.34,43.93,44.37,30198100
43.93,46.17,43.6,45.84,17056600
45.85,46.99,45.6,46.7,11641600
47.07,47.9,46.89,47.01,10948400
46.78,47.68,46.2,46.89,8632100
46.1,46.2,44.66,45.3,17696000
45.3,45.4,44.2,44.42,15507800
44.43,44.57,43.38,43.52,12017500
44.0,44.14,42.75,42.82,12142900
42.77,42.77,41.44,42.09,20168500
42.1,42.68,42.1,42.42,12935100
42.5,43.41,42.45,43.12,8613700
42.81,43.81,42.8,43.33,8673000
43.75,44.15,43.46,43.96,9255000
44.14,45.9,44.08,45.72,11754300
46.28,47.37,46.28,46.98,12669700
46.7,47.11,46.04,46.22,7065100
46.3,46.72,45.6,46.18,6847000
46.49,46.88,46.19,46.28,5291000
46.72,46.95,45.79,46.25,6128300
46.0,46.3,45.62,45.77,5693900
45.77,46.15,45.05,45.16,4527000
44.82,45.65,44.75,45.43,6359800
44.76,45.27,44.55,44.98,5954800
45.0,45.15,44.2,44.75,7777500
44.9,44.99,44.2,44.29,7265300
44.49,44.5,43.31,43.5,6743900
43.85,44.17,43.5,43.71,5288500
43.5,44.6,43.5,44.07,5706700
44.2,45.2,44.2,44.43,6135900
44.14,45.68,44.1,45.23,6156800
45.11,45.7,44.65,44.94,4391200
44.72,44.97,44.17,44.22,4393100
44.49,44.6,42.9,44.43,7270500
44.43,45.82,44.43,45.01,5402100
45.02,45.3,44.28,44.78,7551500
44.85,45.07,44.4,45.01,2175800
45.0,45.24,44.29,45.11,5041900
44.83,45.63,44.53,44.83,5323200
45.02,45.59,45.01,45.39,4568800
45.45,46.95,45.45,46.82,6973100
46.94,48.95,46.9,48.09,15099500
48.39,48.94,47.78,48.06,6576300
48.07,48.74,47.81,48.01,5419500
47.86,47.91,46.97,47.55,5044400
47.32,48.4,47.27,47.65,4743500
47.64,48.81,47.38,48.4,9171400
49.91,51.14,49.65,50.93,17652300
51.15,51.94,49.47,50.21,10539200
50.4,50.4,49.35,50.0,7790900
50.1,50.88,49.93,50.8,7216700
50.81,51.67,50.48,51.49,5764700
51.25,51.42,50.28,50.53,5497400
48.7,49.55,47.4,49.46,15388600
49.58,50.54,47.47,47.85,10645700
48.3,48.65,47.27,47.83,6368200
47.5,48.0,47.46,47.82,4002800
49.0,49.6,48.44,48.57,7799900
48.64,48.77,47.63,47.77,5075000
48.29,49.1,47.91,48.56,5253900
48.14,48.94,48.14,48.49,2982000
48.83,49.71,48.78,49.42,4885300
49.87,49.97,48.9,48.98,3534800
47.41,47.85,46.5,47.4,10787700
47.08,47.74,46.98,47.57,3743600
47.99,48.14,47.51,47.66,4225700
48.29,48.29,47.75,48.13,3074000
48.29,48.5,47.84,48.14,4098200
48.14,49.38,48.12,49.04,5228300
48.95,49.54,48.52,49.5,5029900
49.02,49.93,49.02,49.56,3092200
