Open,High,Low,Close,Volume
30.2,30.47,30.04,30.38,12903800
30.57,31.29,30.45,31.27,31004500
31.28,31.91,31.22,31.63,20664000
31.6,31.6,31.16,31.35,57704300
31.39,31.52,31.21,31.48,17600000
31.8,31.84,31.52,31.61,30254800
31.8,32.07,31.63,31.99,19609600
32.05,32.3,31.9,32.11,24601600
32.28,32.33,31.85,32.18,20380200
31.92,32.07,31.35,31.48,18634600
31.34,31.38,31.01,31.19,15106600
31.55,31.62,31.13,31.42,16658200
31.5,31.5,30.84,30.94,13577500
31.05,31.2,30.85,31.0,10590800
31.18,31.4,30.87,30.89,12571300
31.0,31.48,31.0,31.38,12102300
31.76,31.88,31.24,31.68,14539200
31.85,32.15,31.56,32.14,15859700
32.25,32.27,31.79,31.9,11254400
31.91,31.96,31.63,31.66,12090900
31.68,31.84,31.31,31.8,15500600
31.8,31.86,31.39,31.54,10022000
31.35,31.72,31.25,31.61,11965600
31.71,31.8,31.5,31.55,8868000
31.61,31.75,31.35,31.5,7631500
31.73,32.63,31.61,32.59,20371000
32.62,32.79,32.38,32.66,14525700
32.74,33.18,32.55,33.18,13706300
32.98,33.18,32.9,32.94,9949000
32.91,33.75,32.9,33.52,16445000
33.62,34.37,33.58,34.15,19554300
34.34,34.6,34.1,34.55,12173200
34.55,34.8,34.44,34.78,13900900
34.83,34.99,34.19,34.35,14122300
34.52,34.99,33.96,33.99,11467700
34.0,34.15,33.78,33.92,9207500
34.06,34.2,33.63,33.81,7734900
34.0,34.61,33.75,34.06,10444300
34.14,34.49,33.7,33.7,10824900
33.91,34.36,33.86,34.2,8349800
34.2,34.2,33.83,34.0,10426200
33.83,33.94,33.51,33.58,12672000
33.7,34.21,33.17,33.73,19214600
33.73,33.77,33.28,33.51,7245700
33.51,33.77,33.43,33.44,10491500
33.5,33.88,33.48,33.58,10765800
34.0,34.24,33.9,34.19,9774400
34.38,34.66,34.13,34.32,8951400
34.1,34.48,34.02,34.39,12995300
34.19,34.48,34.11,34.39,8076700
34.5,34.71,34.26,34.52,9610300
34.66,34.83,34.27,34.41,14646700
34.35,34.52,33.5,34.22,10706500
34.23,34.63,34.11,34.35,9119000
33.7,34.89,33.7,34.81,9297800
34.91,34.96,34.64,34.72,7965300
34.72,35.0,34.5,34.97,9612800
34.97,35.17,34.8,34.93,10780600
34.91,35.0,34.47,34.55,9591600
34.6,35.14,34.6,35.02,7823800
34.88,35.01,34.35,34.49,13231900
34.58,34.75,34.03,34.06,18134000
34.25,34.72,34.15,34.42,13534100
34.59,34.71,34.36,34.6,6894100
34.5,34.66,34.25,34.44,9062700
34.0,34.1,33.53,33.68,9662900
33.8,34.0,33.49,33.79,11708100
33.77,33.89,33.48,33.48,7775000
33.48,33.56,32.53,32.74,13245200
33.0,33.15,32.67,33.02,9476100
32.7,33.0,32.3,32.81,6344300
32.75,32.97,32.45,32.47,7716600
32.6,33.38,32.6,33.2,11262600
33.2,33.2,32.6,32.76,9015400
32.67,32.91,32.42,32.56,10972900
32.61,32.79,32.43,32.52,10354700
32.5,32.58,32.26,32.3,6498500
32.5,32.75,32.36,32.5,8488400
32.74,33.25,32.69,33.08,10981800
32.99,33.41,32.81,33.32,9438200
33.37,33.41,32.92,33.03,9614000
33.05,33.24,32.69,32.79,10933400
33.1,33.23,32.64,32.64,10027300
32.65,32.84,32.43,32.64,8461300
32.83,32.92,32.64,32.8,7795800
32.94,33.09,32.48,33.02,9223200
33.13,33.25,32.85,32.92,6404800
32.91,33.03,32.76,32.85,5602900
32.71,32.78,32.07,32.34,14120700
32.22,32.3,31.64,31.9,11134200
31.81,32.0,31.66,31.79,10032400
31.61,31.74,31.28,31.52,11439400
31.68,31.79,31.37,31.7,7583500
31.5,31.54,30.56,30.81,13855600
30.81,31.0,30.1,30.41,12361100
30.55,31.42,30.51,30.9,17431500
30.8,31.2,30.73,30.79,11608800
30.92,31.32,30.75,30.87,10707500
30.95,31.04,30.69,30.75,9863500
30.75,31.15,30.71,31.15,6579500
31.31,31.57,31.22,31.49,6223300
31.31,31.45,30.88,30.91,7508200
30.94,31.25,30.76,31.21,10341800
31.48,32.06,31.36,31.96,11650300
31.96,32.23,31.85,31.94,8703900
31.76,32.1,31.54,31.55,6675100
31.73,31.83,31.29,31.7,11353900
31.88,32.03,31.67,31.84,9850400
31.98,32.15,31.29,31.66,13403500
31.52,31.79,31.49,31.5,6498300
31.66,31.74,31.3,31.33,5686100
31.42,31.8,31.27,31.55,11736400
31.6,31.64,31.3,31.62,9096500
31.86,32.25,31.59,32.19,11671100
32.1,32.63,32.03,32.54,14107800
32.5,32.82,32.14,32.17,10326700
32.09,32.9,31.96,32.74,15714800
32.86,33.23,32.73,32.87,17187400
32.87,33.23,32.74,32.74,11829400
32.7,33.01,32.58,32.83,8239900
32.84,32.99,32.7,32.78,9124400
32.72,32.79,32.42,32.44,9470600
32.58,32.84,32.52,32.61,7704000
32.8,33.44,32.65,33.3,10327900
33.25,33.62,33.08,33.49,10608000
33.63,33.75,33.51,33.55,4265500
33.35,33.5,33.22,33.29,9617100
32.8,33.03,32.57,33.02,9430400
33.14,33.43,32.65,32.71,8429600
32.89,33.08,32.81,32.98,6292200
32.98,33.14,32.47,32.69,9478200
32.84,32.85,32.19,32.3,7678300
32.3,32.43,31.54,31.74,7897700
31.81,31.92,31.54,31.62,7227600
31.71,31.77,31.37,31.58,6877500
31.57,31.9,31.36,31.58,7002400
31.68,32.44,31.65,32.32,11107500
32.25,32.33,32.05,32.25,8552000
32.37,32.37,31.74,31.87,9605800
32.0,32.8,31.92,32.59,8034800
32.44,33.01,32.27,32.93,11914300
32.76,33.59,32.66,33.43,12301200
33.43,33.96,33.15,33.32,10897600
33.58,33.92,33.39,33.73,8413300
33.77,34.03,33.65,33.82,11415900
33.8,33.84,32.6,33.27,14247500
33.52,33.57,33.07,33.53,8509000
33.31,33.56,33.14,33.49,7023300
33.74,33.87,33.5,33.77,7130700
33.82,33.82,33.18,33.3,6917700
33.45,33.78,33.22,33.54,7436300
33.88,34.39,33.77,33.83,13024800
33.85,34.0,33.58,33.94,7086800
33.94,34.07,33.75,34.07,7265200
34.16,34.37,33.83,33.92,6121500
33.91,34.43,33.75,34.39,9899800
34.39,34.42,34.16,34.23,7146800
34.2,34.43,33.86,34.23,9781100
34.33,34.51,34.16,34.42,10150600
34.3,34.62,34.08,34.52,6353400
34.37,34.66,34.18,34.6,6807700
34.5,34.84,34.3,34.39,10378000
34.6,34.75,34.52,34.65,7065000
34.63,34.87,34.55,34.7,4511200
34.59,35.0,34.58,34.95,7765600
34.95,35.26,34.78,35.18,8362700
35.2,35.49,35.17,35.39,7309700
35.36,35.45,35.17,35.18,5180800
35.43,35.75,35.33,35.57,7059700
35.54,35.63,35.26,35.5,6282700
35.3,35.66,35.25,35.45,7606800
35.25,35.44,35.08,35.31,8444000
35.53,35.58,35.26,35.4,5563900
35.4,35.6,35.31,35.54,5701600
35.59,35.89,35.44,35.84,13874000
