Open,High,Low,Close,Volume
46.36,46.66,45.57,46.23,23413900
46.24,46.5,46.1,46.32,14090700
46.0,46.4,45.29,45.69,20759200
45.69,45.88,45.1,45.88,21135000
45.89,46.15,45.56,45.71,14890700
45.5,46.03,45.46,45.86,13422500
46.06,46.6,45.76,46.57,14179400
46.25,46.39,45.67,45.74,11425700
45.68,45.89,45.31,45.4,10260500
45.4,45.42,44.7,44.95,17118300
44.65,45.39,44.61,44.88,13217700
45.18,45.89,45.06,45.8,18141900
45.64,45.7,44.81,45.0,19354600
45.0,45.47,44.54,45.25,15824700
45.55,45.91,45.5,45.72,18189800
45.7,46.17,45.66,45.97,18986800
46.21,46.51,45.83,46.32,16798600
45.99,46.52,44.88,45.84,13386000
46.4,46.95,46.21,46.41,15269600
46.44,46.53,46.03,46.11,12926900
46.05,46.38,45.57,46.14,15189400
46.3,46.48,45.47,46.28,18513100
45.99,46.21,45.44,45.49,11329700
45.44,45.51,45.05,45.08,12185300
45.0,45.47,44.68,44.74,16191300
44.78,45.51,44.52,45.4,12347600
45.48,45.97,45.33,45.7,13131800
45.6,45.95,45.31,45.75,8037800
45.47,45.82,45.47,45.51,7161400
45.42,46.64,45.28,46.45,14872500
46.29,46.93,45.89,46.89,11835300
46.85,47.02,46.35,46.63,9074400
46.63,46.63,45.8,46.1,15355200
45.71,46.46,45.47,45.74,15376000
45.93,45.99,45.44,45.48,9911800
45.5,45.95,45.34,45.7,14826400
45.7,45.75,45.26,45.45,9652200
45.55,45.88,45.55,45.76,9051700
45.57,45.81,45.22,45.36,12302300
45.36,45.51,45.03,45.15,12046100
45.01,45.48,44.93,45.06,12518600
44.87,45.5,44.86,45.33,9508600
45.49,45.54,44.97,45.12,9749500
45.19,45.36,45.05,45.27,11246500
45.2,45.63,45.16,45.27,14478100
45.2,45.39,45.11,45.24,7233700
45.44,45.48,45.21,45.33,9322100
45.35,45.46,45.22,45.27,8838700
45.19,45.58,45.16,45.54,13740500
45.5,45.57,45.22,45.32,13992300
45.56,46.44,45.42,46.36,18556100
46.6,46.79,46.29,46.69,12439100
47.03,48.07,46.99,47.76,19702100
48.2,48.45,47.72,48.11,13890400
47.2,48.22,47.74,48.1,9027400
48.19,48.87,48.05,48.54,14733200
48.7,48.72,48.02,48.19,9733500
