Open,High,Low,Close,Volume
10.34,10.68,10.32,10.68,201853036
10.73,10.85,10.64,10.71,155225609
10.69,10.7,10.54,10.63,112396081
10.75,10.96,10.65,10.9,176139334
10.96,11.03,10.82,10.86,168861224
10.89,11.7,10.83,11.55,570088246
11.98,12.11,11.8,11.99,373548882
12.14,12.34,11.95,12.04,320201966
12.14,12.29,12.09,12.23,194153393
12.24,12.34,11.98,12.1,209215265
11.87,12.01,11.69,11.78,303279501
11.61,11.67,11.25,11.29,424100026
11.33,11.43,10.83,10.87,284634847
10.87,11.37,10.86,11.1,264942587
11.25,11.35,10.82,10.86,285661873
11.06,11.07,10.46,10.6,319019939
10.65,10.78,10.28,10.33,295599087
10.42,10.51,10.16,10.29,238597205
10.17,10.94,10.12,10.71,349600251
10.79,10.91,10.54,10.79,228385745
10.71,10.92,10.66,10.77,130335751
10.73,10.77,10.29,10.3,176898442
10.32,10.4,10.15,10.26,173040616
10.29,10.36,9.53,9.61,413058506
9.75,9.93,9.53,9.66,347308367
9.78,9.87,9.43,9.83,238316400
9.87,9.89,9.22,9.28,287548464
9.31,9.67,8.99,9.62,440118924
9.52,9.54,9.23,9.24,220907862
9.3,9.73,9.29,9.66,290278597
9.59,9.95,9.54,9.89,290010133
9.99,10.14,9.93,10.08,238485674
10.04,10.13,9.94,10.04,143999667
10.08,10.11,9.81,9.87,194941775
9.86,10.24,9.71,10.19,244625822
10.26,10.43,10.2,10.25,214376771
10.31,10.41,10.17,10.21,133695940
10.28,10.3,10.09,10.14,197844178
10.23,10.34,9.73,9.78,316873795
9.83,9.93,9.72,9.87,190969667
9.86,10.0,9.81,9.94,156396212
9.91,9.99,9.65,9.67,184453752
9.67,9.67,9.28,9.35,228326098
9.39,9.56,9.3,9.47,218252139
9.47,9.6,9.34,9.38,163362941
9.43,9.5,9.12,9.13,200066888
9.14,9.21,8.92,9.03,260848945
9.29,9.47,9.26,9.38,215353642
9.4,9.62,9.36,9.62,160606033
9.67,9.72,9.36,9.46,223075713
9.55,9.56,9.19,9.19,187491724
9.25,9.36,9.16,9.24,203339045
9.32,9.35,9.12,9.14,151394348
9.18,9.19,8.77,8.83,336340998
8.88,9.04,8.75,8.81,336610162
8.83,8.84,8.52,8.59,357384216
8.61,8.71,8.43,8.57,268055312
8.62,8.77,8.49,8.5,277211795
8.52,8.59,8.32,8.39,342609232
8.45,8.93,8.24,8.9,586873056
8.97,9.04,8.79,8.96,347752734
9.04,9.09,8.89,8.96,203795606
9.1,9.16,8.94,8.95,204050861
8.87,8.89,8.72,8.74,233062347
9.24,9.6,9.16,9.6,558735429
9.76,10.29,9.74,10.18,666021972
10.13,10.17,9.78,9.97,386345799
10.04,10.13,9.78,9.81,226013844
9.86,9.9,9.58,9.71,234875172
9.72,9.74,9.47,9.53,185108441
9.48,9.63,9.4,9.5,183726809
9.5,9.55,9.19,9.26,180579238
9.29,9.5,9.26,9.46,198762067
9.55,9.57,9.35,9.38,273009513
9.93,10.0,9.46,9.66,416848656
9.74,9.81,9.5,9.58,197305073
9.55,9.56,9.36,9.39,176786477
9.42,9.51,9.37,9.45,132274121
9.52,9.75,9.49,9.74,177740101
9.68,9.98,9.62,9.91,211504636
9.91,10.19,9.89,10.06,190039059
10.11,10.22,9.88,9.94,187648454
10.02,10.28,10.02,10.23,192989167
10.26,10.28,10.03,10.16,171823547
10.17,10.41,10.07,10.16,215121025
10.27,10.32,10.16,10.27,140991494
10.43,10.54,10.25,10.27,148733466
10.26,10.37,10.09,10.15,132929601
10.18,10.19,9.94,10.09,116871398
10.11,10.12,9.65,9.74,203225876
9.69,9.81,9.55,9.67,160487649
9.62,9.77,9.59,9.68,132447357
9.73,9.75,9.25,9.28,234296020
9.24,9.39,9.15,9.32,188588022
9.38,9.47,9.02,9.03,164673677
9.04,9.27,8.97,9.22,246551102
9.12,9.14,8.97,9.05,179765600
9.27,9.31,9.0,9.02,173698427
9.0,9.09,8.79,9.05,229060643
9.18,9.21,9.04,9.19,115943233
9.19,9.22,9.02,9.08,108253677
9.04,9.04,8.75,8.75,140877366
8.82,8.83,8.38,8.54,320287275
8.55,8.9,8.5,8.88,235683301
8.92,9.01,8.7,8.81,171477040
8.74,8.74,8.57,8.57,151478782
8.6,8.66,8.42,8.53,181533156
8.59,8.63,8.34,8.37,187697566
8.35,8.7,8.16,8.68,349379527
8.74,8.79,8.44,8.46,193989705
8.49,8.53,8.14,8.14,179495638
8.23,8.44,8.19,8.33,270235462
8.33,8.4,8.1,8.23,219600556
8.19,8.53,8.11,8.48,297634596
