Open,High,Low,Close,Volume
39.69,41.22,38.79,40.91,24232729
41.22,41.9,40.77,40.97,20553479
40.93,41.73,40.85,41.53,12829610
42.88,43.57,42.8,43.21,29422828
43.1,43.66,42.82,43.42,16268338
42.96,43.34,42.34,42.98,16288580
42.19,42.31,41.72,41.87,26192772
41.92,41.99,40.76,40.89,18921686
41.0,41.08,39.62,39.9,30966185
39.09,40.39,38.96,40.11,42429911
35.01,36.16,34.74,35.18,118670393
35.82,35.84,34.24,34.33,60918436
34.44,34.66,33.21,33.74,57681688
34.22,34.4,33.98,34.17,30894265
34.55,35.2,34.51,34.87,31686324
35.43,35.48,34.38,34.49,23786001
34.94,35.25,34.49,35.17,28480917
35.26,35.27,34.66,35.09,24325960
35.06,35.23,34.88,35.05,29030615
35.2,35.2,34.31,34.38,36538014
34.45,35.0,34.35,35.0,43601750
35.01,35.1,34.1,34.25,18325852
34.0,34.05,33.26,33.54,32640102
33.9,33.95,32.78,32.92,23527156
33.01,33.1,32.32,33.02,37249236
33.24,33.4,32.51,33.0,28115179
33.01,33.36,32.4,32.5,25341881
32.58,32.6,32.1,32.51,19628507
32.21,32.44,31.7,32.04,26141351
32.14,32.83,32.05,32.72,26217040
32.62,33.33,32.55,33.02,19550488
33.3,33.4,32.6,32.75,19619753
32.88,33.14,32.71,32.76,12620166
32.9,33.07,32.38,32.39,14338713
32.49,33.34,32.4,33.16,18433966
33.01,33.66,32.88,33.15,15427590
33.2,33.34,32.92,33.01,10136525
33.11,33.21,32.57,32.74,11826242
32.63,32.98,31.34,32.06,39929675
32.21,32.42,31.72,32.18,18590783
32.01,32.11,31.58,31.7,23495772
31.7,32.07,31.38,31.45,23215697
31.53,31.94,31.45,31.57,17212950
31.42,32.2,31.31,31.43,23370264
31.31,31.55,30.82,30.99,20922528
31.05,31.32,30.25,30.28,18287116
30.4,31.1,29.75,30.58,28994624
30.72,30.97,30.12,30.15,18442605
30.1,31.0,30.1,30.99,19303466
31.25,31.28,30.47,30.53,20766370
30.77,30.88,30.1,30.13,17114520
30.34,30.36,29.83,30.07,23650513
30.38,30.93,30.2,30.44,21457111
30.42,30.78,30.02,30.11,18876317
30.33,30.91,30.31,30.75,23151137
31.52,31.95,31.48,31.83,33944220
32.28,32.31,31.53,31.77,17835583
31.84,32.08,31.3,31.45,14862989
31.45,32.5,31.41,32.39,25983840
32.44,32.91,32.14,32.56,25510222
32.75,32.83,32.09,32.42,14314539
32.45,32.63,32.01,32.26,12666967
32.41,32.53,31.79,31.89,14889713
31.69,32.25,31.66,32.1,16265347
32.3,32.5,31.96,32.11,11991350
32.12,33.14,32.11,32.79,21576285
32.85,32.97,32.21,32.27,12980359
32.28,32.63,32.12,32.55,9633654
32.45,32.6,31.15,31.39,22109884
31.44,31.5,30.89,31.1,14928168
31.14,31.4,30.85,31.13,15610447
31.16,31.79,30.66,30.97,18242998
31.17,31.38,30.53,31.3,38756357
33.47,33.98,32.76,33.54,77263961
33.48,33.7,32.93,33.37,23486989
33.36,34.09,32.7,32.89,25219814
33.01,33.45,32.9,33.01,15444364
32.99,33.06,31.88,31.99,22363153
32.3,33.09,32.1,33.0,24426349
32.79,33.5,32.4,33.2,19639200
32.88,33.45,32.78,32.78,13317439
32.99,33.1,31.86,32.08,19753189
32.2,32.91,31.72,31.85,16282213
32.4,33.0,31.75,32.17,23298008
32.4,32.56,32.08,32.19,10405776
32.63,32.75,32.22,32.66,14689303
33.09,33.43,32.63,32.87,18196950
32.68,34.0,32.35,32.49,13400208
32.48,32.56,32.0,32.09,13811590
31.96,32.17,30.87,30.99,24278733
