Open,High,Low,Close,Volume
24.08,24.48,24.0,24.4,9657400
24.5,24.69,23.77,23.99,13165300
24.13,24.69,24.1,24.41,8698200
24.65,24.79,24.44,24.74,6412800
24.85,25.03,24.72,25.0,6590300
25.02,25.33,25.0,25.32,11798200
25.38,25.79,25.25,25.56,12197600
25.65,25.79,25.52,25.64,9897000
25.61,25.74,25.5,25.7,8073600
25.83,25.83,25.38,25.38,9326800
25.23,25.35,24.99,25.22,7939500
24.91,26.3,24.91,26.24,26537500
26.1,26.5,25.6,25.72,18981000
25.75,25.8,25.25,25.52,11311500
25.6,26.13,25.6,25.99,22929000
26.19,26.2,25.35,25.44,33056200
25.5,25.58,24.9,25.08,32512800
25.16,25.28,24.99,25.08,11728900
25.22,25.58,25.18,25.46,20554000
25.5,25.51,25.23,25.31,15992000
25.15,25.34,25.15,25.27,11972900
25.15,25.17,25.0,25.1,10637100
24.98,25.11,24.9,25.01,12023300
25.2,25.35,24.96,24.96,12377100
25.57,26.88,25.5,26.7,48028600
26.66,27.04,26.6,26.9,25301000
26.86,26.86,26.57,26.72,13862500
26.61,26.76,26.47,26.68,10225600
26.68,26.76,26.25,26.41,9627500
26.56,26.75,26.49,26.75,11966700
26.75,26.91,26.62,26.88,12094100
26.9,27.1,26.8,27.05,10968200
27.05,27.19,26.83,26.91,8101800
26.51,27.28,26.51,27.16,10655100
27.23,27.55,27.15,27.46,10957400
27.46,27.78,27.37,27.71,12931900
27.71,27.99,27.61,27.98,11812900
28.0,28.49,27.98,28.38,14670400
28.46,28.46,27.82,27.99,10858500
28.0,28.18,27.93,28.09,9110200
28.0,28.07,27.74,28.03,9579600
27.94,28.44,27.91,28.22,7872400
28.15,28.22,27.88,27.88,7378700
27.81,28.06,27.75,28.01,7741900
27.99,28.15,27.91,28.05,7260700
28.13,28.27,27.83,28.09,7005500
28.04,28.3,27.94,28.16,8083700
28.27,28.62,28.16,28.56,10409300
28.46,28.66,28.42,28.66,5620500
28.6,28.85,28.55,28.75,6644900
28.81,28.85,28.51,28.68,6014800
28.79,28.8,28.54,28.64,7977100
28.68,28.81,28.52,28.64,6268700
28.57,28.63,28.04,28.1,7682500
27.46,28.2,27.75,27.79,13030400
27.9,27.9,27.41,27.52,12481900
27.49,27.68,27.35,27.45,6916900
27.4,27.54,27.3,27.34,8328300
27.41,27.44,27.06,27.09,12831800
27.22,28.12,27.16,27.86,12855400
27.68,28.09,27.65,27.87,7344900
27.85,28.05,27.69,27.89,7905800
27.87,28.07,27.81,27.94,7027900
27.86,28.25,27.78,27.91,7457600
27.87,27.94,27.63,27.79,7588000
27.68,27.83,27.38,27.68,6492000
27.75,28.0,27.37,27.53,5988200
27.55,28.0,27.55,27.79,6659100
27.81,28.05,27.62,27.77,5876700
27.77,28.0,27.73,27.92,4912600
27.82,28.0,27.77,27.88,3617500
27.9,27.9,27.55,27.65,5845900
27.74,28.19,27.7,28.09,7256200
28.09,28.1,27.47,27.48,7626400
27.46,27.54,27.29,27.34,7903900
27.54,27.54,26.91,27.02,7633300
26.81,27.34,26.75,27.27,6813600
27.43,27.54,26.87,27.0,8047500
27.0,27.44,26.98,27.2,6531100
27.0,27.85,27.0,27.76,9581700
27.71,28.15,27.65,27.96,11570700
28.01,28.18,27.63,27.67,8275200
27.9,28.03,27.78,27.89,6806100
27.95,28.16,27.89,28.11,8444100
28.16,28.43,28.16,28.4,7803700
28.5,29.15,28.5,29.09,52024400
29.3,29.32,28.61,28.77,27585700
28.85,29.6,28.78,29.58,18208600
29.8,30.19,29.58,30.11,21113500
29.85,29.94,29.52,29.8,14468200
29.8,29.98,29.61,29.9,12792400
29.75,30.0,29.72,29.99,10999400
29.97,30.45,29.87,30.35,13800600
30.28,30.3,29.65,29.76,15245300
29.76,29.93,29.18,29.6,13637600
29.7,30.4,29.63,30.15,13920900
30.1,30.32,29.85,30.0,11974500
30.1,30.45,29.95,30.23,10380300
30.31,30.35,29.98,30.14,12481000
30.3,30.33,30.01,30.15,8319100
30.33,30.53,30.25,30.51,7493900
30.46,30.47,30.16,30.2,8196800
30.35,30.51,30.13,30.5,14287800
30.5,30.72,30.42,30.62,10074600
30.61,30.69,30.45,30.62,8661600
30.62,30.99,30.45,30.74,10021100
30.89,30.98,30.38,30.53,16301400
30.53,31.03,30.42,30.65,13496100
30.45,30.48,29.7,29.87,20619600
29.92,30.0,29.25,29.33,15045300
28.4,29.01,28.3,28.9,18754900
28.52,28.73,28.22,28.28,13600600
28.0,28.8,27.95,28.69,14872200
28.64,29.25,28.5,29.19,11799100
29.39,29.54,29.05,29.45,12550500
29.43,29.45,29.0,29.07,12251500
29.02,29.34,28.91,29.23,13625600
29.17,29.75,29.04,29.13,11568500
29.13,29.51,29.07,29.28,9461800
29.2,29.28,28.86,29.12,8631900
29.07,29.75,29.06,29.67,9399800
29.58,29.65,29.32,29.41,8894400
29.41,29.64,29.24,29.38,8285100
29.58,30.07,29.49,29.88,11089700
29.88,30.17,29.82,30.0,12438800
30.19,30.31,29.96,30.02,5795900
29.82,30.45,29.7,30.07,11189300
30.06,30.45,29.94,30.04,10770600
29.9,30.08,29.67,29.83,9349400
30.15,30.34,29.85,29.92,11718900
29.9,30.27,29.83,30.25,10012200
30.25,30.3,29.81,29.91,8415000
29.3,29.33,28.45,28.7,17643000
28.55,28.7,28.15,28.49,10540900
28.16,28.6,28.15,28.6,10445800
28.47,29.14,28.32,29.1,10826800
29.04,29.54,28.95,29.26,11554000
29.24,29.75,29.12,29.12,9221600
28.91,28.99,28.43,28.47,10859800
28.56,29.41,28.49,29.37,9214300
29.2,29.62,28.96,29.48,7972100
29.45,29.65,29.22,29.34,8169900
29.64,29.64,29.17,29.21,10486500
29.38,29.79,29.26,29.7,14653300
29.55,29.73,29.4,29.69,9304300
29.65,29.75,29.32,29.35,9883000
29.33,29.92,29.31,29.8,8476200
29.51,30.1,29.39,30.04,8142100
30.08,30.12,29.6,29.9,9907500
29.9,29.9,29.18,29.39,10501000
29.5,29.69,28.77,28.98,12411700
30.0,30.05,28.79,28.83,18687300
28.75,29.73,28.53,29.58,17026600
29.62,29.68,29.22,29.43,6822100
29.53,29.8,29.44,29.52,8675100
29.65,29.76,29.48,29.64,7508300
29.71,29.76,29.56,29.71,9780400
29.6,30.0,29.56,29.9,6107200
29.97,29.97,29.64,29.91,6730200
29.9,29.97,29.68,29.97,6718000
29.97,30.05,29.51,29.64,14744100
29.62,29.8,29.01,29.19,9075000
29.17,29.31,28.82,28.95,10348100
28.8,29.07,28.7,28.95,5863800
28.93,29.45,28.92,29.37,5115200
29.4,29.53,29.0,29.11,8975900
29.23,29.61,29.23,29.57,7821000
29.5,29.71,29.31,29.65,5240700
29.82,30.0,29.65,29.89,5929800
29.82,30.04,29.75,29.85,5903400
29.72,29.77,29.57,29.61,4890900
29.42,29.69,29.3,29.49,6629000
30.05,30.05,29.5,29.58,7422700
29.4,29.83,29.4,29.77,6544500
29.75,30.28,29.66,30.21,12609800
30.25,30.51,30.0,30.45,10786100
30.27,30.41,30.05,30.39,5784000
30.5,30.58,30.12,30.31,16958500
30.12,30.33,29.99,30.06,6584900
30.12,30.61,30.06,30.47,7598400
30.61,31.05,30.6,31.03,11259500
30.9,31.13,30.51,30.71,9189900
30.57,30.7,30.0,30.08,11227100
30.29,30.4,29.74,30.16,8356200
30.27,31.1,30.26,31.07,13794900
30.91,31.46,30.9,31.04,12973800
31.0,31.23,30.82,30.93,9581900
30.95,31.3,30.83,30.91,8216000
30.79,31.02,30.4,30.53,6603100
30.48,31.05,30.48,31.0,7906900
30.85,31.27,30.8,31.19,9934500
31.06,31.16,30.94,31.07,5003700
31.07,31.39,30.86,31.34,7349100
31.3,31.59,31.23,31.39,5224200
31.3,31.39,31.06,31.25,6288400
31.2,31.4,31.15,31.31,4458300
31.35,31.43,31.12,31.3,5848600
31.18,31.24,30.78,31.11,5390700
31.05,31.14,30.91,31.02,4462200
31.02,31.22,30.97,31.1,6659700
31.23,31.59,31.2,31.58,12821900
31.44,31.75,31.4,31.59,6193200
31.75,31.79,31.37,31.45,8135300
31.2,31.33,31.06,31.28,8295000
31.14,31.44,31.03,31.38,6903100
31.46,31.55,31.0,31.2,7486500
31.35,31.98,31.3,31.98,10250500
31.84,31.99,31.58,31.73,6744700
31.69,31.91,31.4,31.86,4580100
31.83,31.88,31.33,31.46,7437600
31.55,31.86,31.46,31.73,8433700
31.7,31.81,31.39,31.7,5155300
31.83,31.97,31.69,31.89,8533900
32.0,32.48,31.94,32.46,11228700
32.49,33.02,32.42,32.85,11772800
32.7,33.24,32.47,33.1,7028300
33.39,33.85,33.0,33.58,19690900
32.75,32.85,31.74,32.4,25028400
32.3,32.35,31.7,32.26,11777700
32.47,32.6,31.91,32.53,12598400
32.43,32.77,32.34,32.69,10576500
32.94,33.1,32.69,33.06,8561800
33.06,33.21,32.89,32.94,10179700
33.0,33.12,32.87,33.12,11051100
33.05,33.37,33.0,33.23,5725100
33.23,33.28,32.77,32.99,8308100
32.74,33.06,32.64,32.91,2643300
32.85,32.89,32.46,32.59,9987800
32.46,32.98,32.43,32.89,10412100
32.94,33.0,32.78,32.88,9444200
32.99,33.24,32.81,33.05,8954600
33.05,33.13,32.76,33.09,8374800
33.22,33.5,33.09,33.44,7813000
33.44,34.2,33.38,34.2,13529500
34.03,34.19,33.87,34.1,8112300
34.05,34.35,34.0,34.14,6502100
