Open,High,Low,Close,Volume
211.47,218.05,209.32,217.83,13137450
222.17,224.7,220.09,222.84,15292353
223.22,226.0,220.97,225.85,10815661
228.66,235.49,226.85,233.06,17759521
233.44,236.94,230.7,233.68,12795837
232.44,235.36,231.25,235.11,9104719
235.87,237.79,234.82,236.05,9008664
237.1,237.73,230.98,232.05,10125212
232.39,233.68,231.04,233.36,7660220
231.76,235.18,231.5,233.79,8335300
223.87,228.91,221.85,222.68,20511176
225.81,226.97,216.72,218.44,14539830
219.57,220.24,197.57,199.93,41182889
203.89,214.41,203.07,213.96,22768073
218.23,222.7,217.46,221.74,15468453
225.86,227.34,214.82,216.72,18746567
219.99,220.22,211.99,217.35,12931382
217.72,219.33,214.7,216.96,8459747
214.83,216.86,212.71,213.62,8596167
215.5,220.02,212.2,216.55,22449604
194.71,201.2,193.95,201.09,27132792
202.11,203.45,198.19,198.22,11810931
197.01,197.15,186.47,190.97,18286547
192.85,195.14,189.97,192.74,8948485
191.69,192.04,181.85,184.14,16640139
184.42,185.53,177.51,184.72,20818364
185.79,187.39,178.23,179.56,11913420
181.16,182.43,176.75,181.49,15223458
173.49,175.48,171.12,173.02,19724806
172.84,176.02,171.37,171.83,14658822
170.81,173.17,169.08,171.36,12950205
173.01,183.68,172.42,183.41,21346655
185.11,186.26,181.99,184.56,14320187
183.4,186.96,182.74,183.48,8690747
183.76,184.66,182.11,182.93,6480739
182.99,190.81,182.88,189.22,12555816
188.84,190.23,186.93,188.89,6486245
190.83,196.05,190.33,195.38,10218579
196.8,198.97,169.42,181.49,39446833
184.46,184.91,180.83,182.58,12065342
182.32,190.74,181.28,188.41,18340198
192.34,193.81,188.07,189.28,11965401
190.65,191.89,183.75,184.23,8944987
182.69,184.41,179.25,182.41,10458838
177.14,180.2,175.45,177.12,11789648
177.87,179.44,170.92,171.67,13930023
171.92,172.42,165.94,168.92,19335603
170.64,173.22,167.89,168.7,13647636
168.74,176.36,166.48,175.76,18462895
175.56,176.33,170.44,172.42,12772794
174.48,174.55,169.12,169.55,10021478
169.57,171.06,167.63,170.06,8558663
171.34,175.22,170.94,174.27,10415814
175.18,176.01,169.71,170.13,9858099
170.04,172.22,168.92,170.28,7600389
171.35,173.05,170.27,171.12,7784834
184.49,185.23,181.44,183.08,15182162
183.73,186.04,182.68,185.03,7026402
