Open,High,Low,Close,Volume
40.39,41.45,39.77,41.24,8960100
40.94,41.04,40.23,40.48,9452300
40.1,40.36,39.81,40.08,9492700
40.25,40.51,40.09,40.38,9170200
40.8,41.1,40.25,40.82,8256300
41.04,42.49,41.02,41.8,15088100
42.0,43.2,41.91,42.95,12113900
42.7,42.95,42.49,42.55,8515200
41.91,42.59,41.48,41.91,8372600
41.5,41.88,41.36,41.57,6372700
41.57,42.11,41.38,41.69,7079500
41.3,41.99,41.13,41.28,12264400
41.16,41.27,40.12,40.17,15041700
40.4,40.58,39.65,39.69,9305100
39.99,40.45,39.72,40.45,10890900
40.42,40.66,39.79,39.98,8096700
40.1,40.56,40.04,40.4,7279800
40.22,40.72,39.77,40.0,8192700
39.72,40.29,39.72,40.0,5657800
40.0,40.86,39.82,40.55,10812200
40.45,40.58,39.91,40.23,6937400
39.96,40.24,39.81,39.96,7343300
39.85,39.96,39.4,39.82,7560400
39.77,40.02,39.28,39.49,7603800
39.34,39.44,38.5,38.73,11151500
39.0,39.36,38.86,39.27,7242800
39.22,39.5,38.95,39.05,6989600
38.95,39.32,38.7,39.22,6237300
39.02,39.93,39.02,39.7,6469300
39.95,41.21,39.83,41.13,12911900
41.1,41.77,40.8,41.53,10143400
41.61,41.95,41.34,41.86,7780200
41.85,41.93,41.36,41.86,8572700
43.0,43.0,41.71,41.87,15237200
42.13,42.2,41.15,41.88,10013900
41.94,42.37,41.46,41.58,8315900
41.8,41.87,41.06,41.63,7274800
41.82,42.72,41.75,42.45,9704600
42.18,42.42,41.7,42.15,12243900
42.15,42.69,41.5,42.59,9638300
42.18,42.49,41.8,42.29,11570100
42.0,42.8,41.91,42.2,6157100
42.16,42.18,41.54,41.8,8198600
41.65,41.66,41.26,41.37,5710600
41.1,41.29,40.9,41.16,8533800
41.07,41.2,40.28,40.64,9795600
40.64,41.33,40.63,41.25,6776000
41.08,41.53,40.85,41.25,5190900
41.11,42.38,41.11,42.14,9265800
42.02,42.35,41.76,42.26,6063900
42.47,42.87,42.31,42.75,8699300
42.97,43.01,42.7,42.9,13093300
42.72,42.99,42.7,42.85,7354600
42.84,43.17,42.71,43.0,10821900
42.77,43.45,42.77,43.37,9507200
43.25,43.95,43.24,43.81,10267800
43.72,43.85,42.8,43.12,7884800
42.95,43.14,42.75,42.99,6646600
42.9,43.55,42.82,42.99,7215400
43.05,43.35,42.73,42.91,7367700
42.81,43.03,42.25,42.38,7493200
42.6,42.94,42.22,42.3,9198200
42.38,42.65,42.19,42.38,6977700
42.3,42.7,42.06,42.55,6306000
42.69,42.93,42.57,42.65,6680000
42.6,42.63,42.06,42.14,7130000
42.39,42.63,41.84,42.1,8844700
42.08,42.21,41.55,41.8,6964600
41.9,42.09,41.28,41.43,7065300
41.33,41.4,40.8,40.99,7047400
40.9,41.38,40.62,41.12,5386000
41.03,41.16,40.11,40.38,6777600
40.41,41.44,40.24,41.32,9382700
41.2,41.45,40.7,40.74,6692800
40.85,41.18,40.37,40.81,5348100
41.1,41.14,40.0,40.28,9110400
40.47,40.47,39.95,40.08,6571700
40.08,40.34,39.5,39.96,10603100
40.18,40.51,39.97,40.07,7965800
39.77,40.66,39.77,40.22,8777900
40.25,40.43,39.93,39.93,9010200
40.15,40.78,40.09,40.54,10232800
40.9,40.95,40.13,40.2,8125600
40.2,40.58,40.05,40.37,6072600
40.42,40.5,40.09,40.26,9261600
40.66,41.48,40.47,41.29,11264100
41.15,41.45,40.88,41.01,7029300
41.1,41.61,41.03,41.36,8358400
41.3,41.36,40.85,41.21,7472100
41.05,41.3,40.55,40.72,9089800
40.53,40.62,39.66,40.0,11666700
39.95,40.5,39.54,40.5,9655700
39.6,39.6,38.18,38.45,30902900
38.27,38.35,37.3,38.01,29145200
38.5,39.09,38.23,38.41,16002800
38.59,39.12,38.53,38.94,11992600
38.5,38.68,38.06,38.49,10882000
38.57,38.7,37.75,37.84,10803800
37.8,38.18,37.58,38.01,14849400
38.36,38.4,37.93,38.4,9405800
38.5,39.09,38.5,38.67,9236100
38.26,38.35,37.7,37.7,11519200
37.77,38.14,37.61,38.12,12052700
37.95,38.61,37.9,38.55,11641400
38.41,38.75,37.8,38.0,12508800
37.75,38.1,37.44,37.46,11632400
37.57,37.64,36.6,37.06,17697600
36.95,37.38,36.65,36.71,11670600
36.57,37.4,36.53,37.25,13226800
37.1,37.39,36.76,36.95,10768900
36.9,36.96,36.2,36.26,11109100
36.1,36.9,36.04,36.29,12582000
36.13,36.81,36.12,36.75,11092000
37.03,37.5,36.68,37.37,20367300
37.3,37.68,36.86,36.91,15064900
36.91,37.23,36.78,36.86,9870000
36.71,36.8,36.24,36.42,13114000
36.32,36.87,36.32,36.66,8614100
36.94,36.95,36.36,36.48,10054400
36.35,38.8,36.33,36.41,8122000
36.26,36.8,36.25,36.64,7495100
36.55,36.71,36.3,36.37,10033000
36.27,36.45,36.0,36.16,26954300
36.2,36.56,35.85,36.46,20207000
36.46,36.5,35.63,35.79,24065100
35.86,35.98,35.7,35.77,7944800
35.78,35.78,35.39,35.53,14001000
35.45,35.73,35.4,35.47,10734600
35.51,35.7,35.28,35.37,14576100
35.4,35.57,34.86,35.0,12949100
34.9,34.93,33.89,34.38,21509800
34.26,34.44,33.57,33.61,25645100
33.5,34.08,33.25,34.07,20904600
33.96,34.37,33.62,33.84,16324500
33.93,34.47,33.4,33.6,14150100
33.45,33.57,32.85,33.13,24947300
33.17,34.49,33.06,34.35,19622700
34.52,35.15,33.96,33.98,17558600
