Open,High,Low,Close,Volume
82.45,82.55,80.81,82.06,11715200
82.2,82.5,81.33,81.95,9840600
81.4,82.9,81.0,82.5,7213500
83.95,85.03,83.41,84.95,8197400
84.1,84.25,83.38,83.73,6858200
83.15,84.12,83.12,84.07,5701000
84.37,84.81,83.4,84.17,5776500
83.82,83.96,83.4,83.57,4926500
83.0,83.45,82.5,83.17,6921700
82.8,83.16,82.54,83.0,8761700
84.0,84.7,83.52,84.46,11032800
84.14,84.39,83.02,83.09,6484000
83.04,83.05,81.25,81.36,8614500
81.33,81.92,80.92,81.41,6114100
81.39,82.15,80.8,80.85,6069000
81.05,81.62,80.61,80.91,6374300
81.5,81.65,80.59,80.72,7810200
80.75,81.77,80.75,81.02,6103400
80.21,81.81,80.21,81.63,5325100
81.5,82.0,81.17,81.3,6771600
80.9,82.24,80.65,81.94,5417100
81.45,81.59,80.9,81.23,6198000
80.55,80.77,79.72,79.97,9852700
79.94,79.95,78.93,79.51,9568600
79.5,80.19,79.3,79.85,5253600
80.58,80.9,80.24,80.8,5030500
80.4,80.8,79.5,80.4,7609200
80.4,81.46,80.2,81.33,5371900
81.33,81.91,80.18,80.44,5257400
80.55,81.45,80.35,81.09,6075500
80.86,81.5,80.5,80.85,5052000
80.68,80.91,80.13,80.91,5310500
80.91,81.03,80.13,80.71,5298900
80.1,80.75,79.97,80.5,5839100
80.0,81.65,79.97,81.35,5294300
81.2,81.34,80.04,80.2,4979900
80.65,80.65,79.85,80.1,3904100
79.97,80.89,79.95,80.63,3787200
80.1,80.55,79.71,80.24,5960700
80.2,80.81,79.78,79.9,5211600
79.55,80.21,79.54,79.94,4418800
79.51,80.83,79.51,79.96,4354400
79.91,80.64,79.9,80.0,4709500
80.01,80.79,79.86,80.29,4330800
80.25,81.6,80.25,81.14,5570000
81.26,81.98,80.8,81.02,4310700
81.03,82.25,81.03,81.57,4787200
81.56,82.4,81.45,81.93,4571400
81.51,82.99,81.47,82.88,4532700
82.65,83.76,82.64,83.38,5370400
83.43,83.72,82.61,82.87,4299500
83.35,83.41,82.82,83.3,6414500
83.11,83.75,82.99,83.58,3870300
83.82,84.99,83.58,83.81,7404300
83.35,84.68,83.35,84.45,4968600
84.23,84.27,82.93,83.2,5105800
82.99,83.72,82.99,83.36,4198800
82.98,83.26,82.58,83.08,3910100
82.86,83.39,82.29,82.43,4508800
82.2,83.55,82.2,83.13,4633800
82.88,83.7,82.83,83.2,4467000
82.95,83.6,82.29,82.47,5862000
82.72,83.59,82.65,83.06,4121600
83.05,83.78,82.8,83.45,3856200
83.33,84.45,83.32,84.17,5523900
83.7,84.32,83.36,83.81,4944100
83.6,83.8,82.44,82.48,5338300
82.27,82.74,82.0,82.1,3631300
81.83,82.06,80.75,81.16,5959700
81.1,81.37,80.63,80.75,3905700
81.18,82.6,81.12,81.98,4799700
81.92,82.92,81.4,81.64,4634200
81.89,83.53,81.7,83.31,7919700
83.95,84.0,81.26,81.86,10555200
81.65,82.85,81.64,82.02,6237200
82.49,82.5,81.38,81.66,6117400
81.3,82.41,81.1,82.11,6604100
81.95,82.9,81.6,82.67,6857400
82.84,83.48,82.71,83.35,6649000
82.7,84.4,82.7,83.88,8174300
83.51,83.62,81.98,82.34,8201800
