Open,High,Low,Close,Volume
61.07,61.85,61.05,61.63,10703200
61.93,62.64,61.76,62.58,9068100
62.57,62.95,62.1,62.32,9852600
62.36,62.74,62.14,62.6,5919300
62.52,63.01,62.43,62.99,7103700
62.52,63.1,62.5,63.1,6658300
62.96,62.99,61.94,62.5,8825400
62.5,62.55,61.8,62.21,7262400
61.9,62.29,61.42,61.82,7043600
61.31,62.07,61.1,61.28,9674000
61.75,62.24,61.35,61.69,7563200
62.3,62.62,61.7,62.17,7494800
61.24,62.3,60.73,60.8,11024900
60.75,61.24,60.61,61.19,7217400
60.19,61.24,59.36,59.36,19957500
61.0,61.0,58.04,58.5,25369100
58.75,59.5,58.56,58.64,15946100
58.95,59.21,58.35,58.71,11596400
58.71,58.75,58.04,58.4,11877600
58.15,58.34,57.45,57.54,20564100
57.67,58.42,57.65,57.86,13401700
58.35,58.38,57.59,57.65,10014600
57.26,57.5,57.02,57.38,11020300
57.5,57.56,56.65,56.85,10619500
57.0,57.33,56.7,56.8,10340700
57.05,58.74,56.93,58.6,14627600
59.15,59.71,58.3,58.55,12131500
58.7,58.76,58.24,58.39,8158200
58.38,58.64,58.04,58.5,5015500
58.7,59.27,58.7,59.05,9817200
59.08,59.4,58.7,59.1,8314500
59.45,59.45,58.58,58.98,11893800
59.18,59.27,58.74,59.07,6773400
59.13,59.32,58.75,59.14,6489900
59.01,59.2,58.7,59.03,8647200
59.0,59.06,58.45,58.59,9753400
58.69,58.69,57.42,57.76,10373500
57.96,58.55,57.83,57.91,7037900
57.81,57.92,57.42,57.65,8942200
57.62,57.82,57.45,57.66,7142000
57.5,58.26,57.45,57.69,7794500
57.55,58.12,57.47,57.47,6464500
57.57,58.07,57.51,57.85,7349500
57.53,58.31,57.53,58.22,9560000
58.15,58.85,57.83,58.74,7424500
58.95,58.97,58.25,58.31,8570900
58.65,59.04,58.5,59.04,9240900
59.35,59.37,59.0,59.08,6219700
59.15,59.4,59.03,59.29,7939300
