Open,High,Low,Close,Volume
34.29,34.29,33.2,33.52,9250100
33.43,33.85,33.42,33.82,5990300
33.82,34.2,33.73,33.86,6245200
34.23,34.3,33.81,34.06,5877100
34.0,34.74,33.99,34.71,4659900
34.61,34.85,34.54,34.74,7021800
34.82,35.36,34.8,35.34,8209000
35.25,35.32,34.74,34.79,11593600
34.65,34.74,34.35,34.47,4807700
34.72,35.16,34.52,34.59,5499200
34.58,35.44,34.41,34.66,10552500
35.3,35.37,35.0,35.2,9093800
35.2,35.91,35.09,35.86,11437300
35.86,36.09,35.27,35.71,6994800
35.94,36.31,35.67,35.85,9685600
36.0,36.14,34.55,35.16,21016500
35.5,35.7,34.75,34.94,12358300
34.94,35.24,34.92,35.05,7355400
34.9,35.07,34.83,35.02,8004200
35.04,35.25,34.9,35.01,6988200
35.01,35.71,34.99,35.67,7184900
35.33,35.81,35.17,35.45,5409500
35.45,36.08,35.44,35.97,6853000
36.0,36.44,35.9,36.13,7163500
36.3,36.51,36.06,36.19,4869300
36.6,36.75,36.26,36.36,6444300
36.31,36.49,36.22,36.3,4889600
36.27,36.46,36.11,36.33,5741200
36.41,36.59,36.16,36.36,3421100
36.36,36.55,36.07,36.37,5392300
36.26,36.27,35.75,36.01,7669400
35.99,36.39,35.86,36.37,3963500
36.37,36.44,36.01,36.06,4802300
35.88,36.0,35.35,35.66,5250300
35.75,36.08,35.72,35.95,4623400
35.75,35.99,35.5,35.59,3751800
35.49,35.52,35.19,35.34,4802800
35.3,35.53,35.11,35.25,4262200
35.3,35.47,34.89,34.91,5522700
35.0,35.18,34.43,34.93,5945500
34.93,34.99,34.69,34.94,4566200
34.75,35.06,34.64,34.85,5433800
34.61,34.96,34.57,34.67,4145100
34.55,34.78,34.43,34.64,7942300
34.67,34.9,34.65,34.68,6588600
34.62,34.73,34.39,34.53,5009600
34.6,35.01,34.54,34.65,3991100
34.53,34.7,34.11,34.32,6117300
34.17,34.41,34.12,34.26,5661700
34.21,34.83,34.19,34.77,5235600
34.7,35.14,34.7,35.06,5637800
35.24,35.25,35.0,35.1,5983900
34.94,35.07,34.67,34.73,3983900
34.67,35.14,34.67,34.9,5700400
35.03,35.13,34.62,34.8,4218100
34.81,34.81,34.36,34.54,4701300
34.54,34.86,34.4,34.7,3242800
34.42,34.65,34.37,34.55,3338600
34.36,34.77,34.28,34.31,4430800
34.2,34.65,34.16,34.6,2583800
34.41,34.8,34.18,34.55,4039100
34.41,34.63,34.26,34.36,4020100
34.45,34.91,34.43,34.73,5750000
34.88,34.91,34.57,34.66,4283300
34.58,34.89,34.43,34.81,5667500
34.47,34.91,34.47,34.6,4033800
34.63,34.99,34.48,34.88,4716800
35.0,35.45,34.95,35.35,6109800
35.39,35.57,35.19,35.55,5525900
35.37,35.41,34.97,35.19,6314200
35.49,35.49,34.7,34.85,10711400
34.78,34.83,34.05,34.32,6301700
34.32,34.68,34.11,34.48,5441300
34.33,34.85,34.33,34.55,3408600
34.55,35.11,34.55,35.08,5006100
34.88,35.0,34.36,34.6,6320500
34.35,34.45,34.08,34.26,5687200
34.06,34.17,33.81,33.85,7113900
33.9,34.13,33.71,34.11,4218300
33.85,34.65,33.85,34.62,4864300
34.6,34.72,34.3,34.57,4714000
34.64,34.75,34.31,34.37,4054700
34.4,34.53,34.22,34.41,3975400
34.48,34.88,34.32,34.86,4472600
34.85,35.08,34.8,34.85,4646200
34.88,35.25,34.85,35.21,6408400
35.21,35.39,35.2,35.39,4039200
35.7,35.93,35.57,35.83,5933100
35.76,35.99,35.69,35.96,4813600
35.95,35.96,35.22,35.35,4927600
35.37,35.52,34.87,34.88,5397100
34.88,35.0,34.61,34.97,4067000
35.05,35.12,34.67,34.7,3323800
34.53,34.76,34.43,34.56,6572400
34.83,34.97,34.41,34.44,5374800
34.65,34.72,33.97,34.15,6252800
34.08,34.14,33.51,34.03,7387900
34.03,34.13,33.53,33.53,5219800
33.63,33.68,32.79,32.95,9722100
33.14,33.28,32.88,33.26,7128000
33.35,33.35,32.88,32.92,6168700
32.8,33.08,32.62,32.72,4502700
32.78,33.28,32.72,33.17,6087800
32.97,33.74,32.96,33.68,6745800
33.55,33.78,33.25,33.51,4423400
33.51,33.56,33.08,33.15,4387300
33.25,33.55,32.81,33.31,5780300
33.5,33.77,33.3,33.32,5070600
33.57,33.74,32.98,33.69,8470300
33.65,33.88,33.38,33.38,4131600
33.5,33.62,32.83,32.93,5335000
33.0,33.47,31.73,31.94,7657900
32.0,32.96,31.97,32.85,7856300
32.91,33.53,32.64,33.35,6635500
33.31,33.35,32.94,33.14,6044900
33.11,33.25,32.76,32.85,4130400
33.0,33.11,32.7,32.96,5103300
32.85,33.54,32.85,33.4,6911000
33.2,33.4,32.48,32.55,5239700
32.55,33.01,32.5,32.6,3769400
32.6,32.8,32.43,32.66,3812300
32.5,32.79,32.49,32.51,4593800
32.5,32.59,31.91,31.97,8569900
32.4,33.69,32.4,33.56,9137500
