Open,High,Low,Close,Volume
77.76,79.35,77.24,79.11,3117200
79.49,79.49,78.25,78.71,2558000
78.41,78.65,77.56,77.99,2529500
78.64,78.9,77.64,78.63,2479500
78.5,79.83,78.46,79.02,1845600
79.0,79.01,78.08,78.53,1919900
78.44,78.66,77.84,78.37,1911900
78.2,78.23,77.2,77.7,2121100
76.95,78.2,76.95,77.5,1925300
77.1,77.62,77.0,77.09,2073400
77.0,77.28,76.52,76.99,1838400
77.19,77.37,76.7,76.91,1807100
76.91,76.91,75.18,75.24,3286900
75.5,76.23,74.81,75.7,2953500
74.01,75.6,73.72,74.2,5511200
73.25,73.83,72.75,73.0,7475200
73.22,73.43,72.02,72.7,5027500
72.45,73.25,72.4,72.65,3813100
72.9,73.34,72.42,72.65,3463600
72.4,73.25,71.96,72.75,5317900
72.3,73.4,72.01,73.19,3828100
73.16,73.68,72.05,72.15,3207100
71.75,72.09,71.0,71.1,3258300
71.0,71.3,70.99,71.17,2551500
71.16,71.29,70.57,70.65,3133200
70.65,71.28,70.3,71.0,2846100
71.36,72.88,71.25,72.12,3798100
72.29,72.99,71.5,72.61,2932400
72.69,73.42,72.64,72.91,2320300
73.5,74.12,73.41,73.7,3859400
73.71,74.18,73.09,73.13,2672900
73.2,73.35,72.5,73.05,2923000
73.15,74.15,73.08,73.77,2338600
73.67,74.1,72.85,73.2,3706300
73.19,73.74,72.98,72.98,2674100
73.1,74.08,73.0,73.65,2694800
73.94,74.16,73.13,73.91,1931100
74.0,74.66,73.69,73.69,2774300
73.7,74.08,73.12,73.59,2695300
74.19,74.19,73.51,73.67,2036800
73.64,73.8,72.99,73.05,2657200
73.05,73.29,72.66,72.88,3171200
72.46,72.8,71.54,71.95,3587200
71.8,72.34,71.33,72.27,2954800
72.51,73.07,72.05,72.38,2494700
72.53,72.76,71.77,71.8,2148800
71.9,72.8,71.88,72.32,1832700
72.5,72.52,71.88,72.09,1997600
72.18,73.75,72.18,73.53,2629000
73.28,74.24,73.01,74.0,2863700
74.49,75.46,74.29,74.89,4338200
75.3,75.45,74.75,74.79,4049500
74.84,75.19,74.55,75.0,1748700
75.2,75.34,74.63,74.93,3197700
74.76,76.15,74.76,76.07,2954700
76.68,76.96,76.01,76.77,3468700
76.65,77.06,76.38,76.8,3419400
76.7,77.23,76.51,76.84,2792500
76.84,77.2,76.15,76.3,3511000
77.81,78.74,77.56,77.56,5308200
77.57,77.62,76.0,76.52,3362600
76.52,76.88,75.61,75.69,3125800
75.97,77.19,75.76,75.84,3603000
76.52,77.99,76.52,77.0,3634600
77.89,77.9,76.8,77.46,2784300
79.99,82.01,79.54,81.38,10471100
81.25,82.08,80.81,81.03,4108100
80.11,81.37,80.11,80.98,2567100
80.17,81.12,80.17,80.79,2791600
79.98,81.37,79.98,81.1,2456800
80.9,81.54,80.58,80.97,1793900
80.55,80.71,79.31,80.26,3122500
80.36,82.2,80.34,81.59,4374600
81.69,82.39,81.66,81.88,2922500
81.85,82.97,81.37,82.6,4281500
84.0,85.5,83.91,85.06,9268300
84.01,85.9,84.0,85.46,4363700
85.0,85.5,84.4,84.81,3955800
84.84,85.65,84.6,85.52,2704600
85.0,85.68,84.5,85.23,2991300
85.0,85.51,84.94,85.43,2531000
85.51,85.73,84.84,84.97,2848100
85.15,85.31,83.58,84.5,3807300
84.75,85.9,84.61,85.9,3317600
85.9,86.67,85.84,86.47,3324700
86.69,87.3,86.54,87.3,3632000
87.1,88.35,87.06,88.13,3523600
87.61,87.8,86.82,87.58,4039700
87.25,87.76,87.23,87.65,2818300
87.25,87.64,86.78,87.17,2558100
86.9,87.66,86.25,86.57,2526500
86.7,87.21,86.07,87.12,2598100
87.12,87.33,86.22,86.76,3198700
85.9,85.97,84.12,84.42,4156000
83.63,84.83,83.63,84.15,2690600
84.56,84.92,83.71,84.31,2796400
84.31,84.59,82.59,83.73,3006500
83.6,84.02,83.01,83.44,2783600
83.19,84.1,82.65,83.82,2906600
83.95,84.23,82.86,83.26,2821900
83.26,84.0,82.91,83.87,1838000
83.5,83.98,83.35,83.46,2334600
83.7,84.62,83.15,83.66,3364300
83.66,84.67,83.14,84.51,1721800
84.8,85.23,84.5,84.78,2318900
84.1,84.33,82.88,82.95,2601000
83.2,83.91,81.29,82.26,4300100
82.26,82.28,80.34,80.34,3797900
79.8,81.94,79.24,81.75,4435400
81.39,81.87,80.25,80.57,2561200
80.57,81.09,79.89,80.16,2535100
80.35,81.23,79.94,79.96,3444200
79.8,80.47,79.28,79.9,2488900
79.65,81.34,79.25,80.9,3190100
80.98,81.15,80.31,80.51,3519500
80.7,80.7,78.89,79.43,2448900
79.43,80.61,79.05,79.89,2139500
79.9,81.32,79.9,80.4,2351800
80.65,80.8,79.29,79.59,1795700
79.6,80.28,79.49,79.92,2398400
79.92,80.35,79.6,80.21,1626900
80.4,80.93,78.62,78.7,2527400
78.71,79.36,78.61,79.28,1787900
79.29,81.5,79.29,81.15,2780400
81.64,81.75,80.71,80.77,3275800
81.15,81.23,80.79,81.12,654600
80.9,80.92,80.12,80.55,2158100
80.87,81.6,80.81,81.39,2280500
76.28,76.28,73.84,74.1,24360500
74.48,74.62,72.82,73.11,9216000
73.25,73.72,72.64,73.09,5431100
73.5,73.6,72.46,72.72,4320700
72.48,72.57,71.41,71.63,4816000
71.66,71.97,70.88,71.22,4350900
71.2,71.49,70.17,70.66,5183900
70.9,71.03,70.49,70.85,5283100
71.15,71.38,70.64,71.02,5367700
71.4,71.7,71.06,71.1,3414300
71.37,71.72,69.92,70.72,5618300
71.05,71.69,70.74,71.69,3472600
71.0,71.01,67.05,68.11,18860300
68.11,69.83,67.35,69.06,9168600
69.89,70.7,69.46,69.75,6141000
70.31,70.58,69.78,70.52,4011600
70.1,70.98,70.04,70.4,3075400
70.0,70.11,69.44,69.91,3403400
69.91,70.09,69.55,69.61,4835300
69.61,69.79,69.21,69.28,4595900
69.9,70.29,69.06,69.45,4134800
69.4,69.41,68.78,69.0,3613700
69.45,69.51,68.28,68.56,4072500
69.36,69.36,68.18,68.3,3581000
68.41,69.03,68.28,68.41,3124500
68.55,68.94,68.37,68.53,3368600
68.53,69.28,68.45,68.62,4531200
69.49,69.84,69.19,69.78,4650600
70.3,70.94,70.15,70.79,5245000
70.79,71.57,70.5,71.2,3167700
71.52,71.57,71.03,71.21,2485700
71.3,71.46,70.94,71.12,2436900
71.13,71.73,71.12,71.29,2092800
71.05,71.43,70.04,70.34,2785000
70.5,70.58,69.65,70.1,2485000
70.06,70.4,69.62,69.92,3085100
69.75,71.29,69.75,70.94,2653700
70.94,71.81,70.45,71.61,3208000
72.0,72.0,71.43,71.44,2572100
71.8,71.97,71.45,71.7,1780800
71.74,72.32,71.65,71.72,2487300
71.74,72.0,71.13,71.35,2913000
71.35,71.74,71.04,71.5,2503700
71.5,71.7,70.59,70.59,3277100
70.75,71.59,70.6,71.51,2316400
71.52,71.52,70.8,71.35,2191200
71.68,72.75,71.22,72.57,3867600
72.6,73.79,72.6,73.37,3556400
73.4,73.77,73.2,73.53,2624700
