Open,High,Low,Close,Volume
32.52,32.87,31.81,32.75,11430600
32.75,33.2,32.75,33.13,12530200
32.92,33.39,32.5,33.18,15349900
33.09,33.36,32.87,33.12,9302700
33.22,33.66,32.75,33.66,14958400
33.45,33.45,33.13,33.33,8887000
33.49,33.59,33.31,33.46,9515100
33.56,33.58,33.35,33.48,7083500
33.53,33.72,33.35,33.47,7044200
33.11,33.65,33.01,33.21,9875800
33.12,33.42,32.95,33.03,9117200
33.36,33.63,33.22,33.32,9303300
33.32,33.43,33.01,33.25,10102400
33.14,33.21,32.76,32.83,7718800
32.73,33.01,32.61,32.78,7707400
32.7,33.24,32.55,33.19,7950700
33.34,34.05,33.32,33.95,11073900
33.8,34.85,33.71,34.7,10444500
34.41,34.65,34.06,34.46,9371500
34.87,34.88,34.39,34.5,14794700
34.27,34.74,34.2,34.66,8207200
34.55,34.73,33.7,33.82,10456300
34.5,34.64,33.82,34.39,9983100
34.24,34.29,33.74,33.83,6068700
33.7,34.4,33.56,33.69,6698900
33.9,34.48,33.64,34.29,9172500
34.48,34.7,34.3,34.34,8485100
33.7,34.4,33.66,34.31,7224200
34.32,34.69,34.13,34.31,5723100
34.51,34.72,34.35,34.67,6618900
34.58,35.3,34.58,35.29,12413400
35.0,36.08,34.98,35.98,12009400
35.98,36.06,34.85,36.05,11708000
36.52,36.65,35.47,35.59,9763800
35.81,36.25,35.5,35.92,11962300
35.55,35.7,35.29,35.41,10198700
35.54,35.54,35.0,35.1,6467300
35.02,35.59,35.02,35.36,7767900
35.09,35.29,34.84,34.86,8451200
35.05,35.36,34.71,34.96,7628900
34.75,35.26,34.71,35.12,9047400
34.94,35.42,34.75,35.19,6103700
35.11,35.35,34.8,34.96,7984600
34.96,35.0,34.68,34.9,5513700
34.6,34.85,34.34,34.68,5175000
34.57,34.65,34.35,34.51,5105000
34.75,34.96,34.5,34.76,5911600
34.78,35.35,34.75,35.2,8146800
35.1,36.26,34.95,35.1,5218800
35.0,35.27,34.88,35.16,4618200
35.0,35.51,34.96,35.28,6125800
35.47,35.69,35.35,35.64,8742300
35.54,35.93,35.42,35.66,5625100
35.86,36.18,35.64,35.89,7385800
35.55,36.32,35.55,36.23,6084700
36.1,36.5,35.91,36.2,5502100
36.12,36.32,36.0,36.05,5073700
35.91,36.25,35.8,36.02,5821900
36.04,36.15,35.51,35.65,6371900
35.73,36.08,35.56,35.8,5308900
35.72,36.14,35.22,35.61,6848900
35.77,35.92,35.03,35.23,8554700
35.47,35.61,35.31,35.41,10013100
35.75,35.9,35.41,35.48,8769300
35.38,36.09,35.36,35.99,8348100
34.62,35.04,34.26,34.84,20453500
34.5,34.79,34.3,34.47,11038500
34.41,34.79,34.35,34.42,7546400
34.42,35.1,33.79,34.06,13395300
33.9,34.03,33.62,33.85,7732700
33.65,34.0,33.65,33.94,5426800
33.9,33.94,33.55,33.8,5328400
33.73,34.49,33.72,34.48,9051200
34.45,34.78,34.22,34.4,6288500
34.62,35.26,34.52,35.0,8274200
35.19,35.19,34.25,34.74,11371500
34.32,34.74,34.12,34.37,6544700
34.29,34.39,33.9,34.24,5493300
34.3,34.8,34.21,34.32,6556200
34.0,34.94,34.0,34.6,6131600
34.42,34.7,34.18,34.42,7011900
34.67,34.85,34.05,34.24,6954100
34.24,34.56,33.99,34.48,6214000
34.5,34.68,34.06,34.15,7613900
34.08,34.4,34.08,34.31,6209100
34.44,34.55,34.04,34.48,6940800
34.77,34.79,34.25,34.45,6341800
34.45,34.94,34.33,34.43,8464600
34.44,35.4,34.3,34.67,7690400
34.61,34.89,34.41,34.51,7251000
34.48,34.83,34.18,34.29,8280600
34.53,35.28,34.29,34.69,10281800
34.85,35.4,34.8,35.12,8910200
35.0,35.51,34.18,34.34,13284300
34.54,35.34,34.38,35.13,15465000
35.25,35.25,34.13,34.42,14138300
34.32,34.61,34.3,34.41,9899700
34.36,34.6,34.01,34.44,11451300
34.25,34.63,33.89,33.94,11005300
34.0,34.44,34.0,34.39,7099800
34.48,35.03,34.47,34.56,9399400
34.31,34.63,33.1,33.14,16681700
33.01,33.34,32.75,33.29,12087400
33.51,33.82,33.36,33.8,12489500
33.65,34.24,33.5,33.95,6646000
33.85,34.03,33.41,33.47,5184900
33.7,33.95,33.4,33.9,8246700
34.08,34.51,33.94,33.96,8783000
33.92,34.54,33.46,33.97,14114100
34.0,34.15,33.76,33.81,7473900
34.06,34.13,33.36,33.37,6514900
33.61,34.07,33.16,33.66,10697900
33.56,33.74,33.12,33.49,7089900
33.56,34.43,33.46,34.33,9085000
34.4,34.75,34.09,34.41,9454100
34.49,34.77,34.4,34.46,7762100
34.62,35.02,34.5,34.92,9210200
34.92,35.45,34.89,35.27,8516000
35.18,35.65,35.05,35.25,8503300
35.04,35.07,34.33,34.94,6900800
35.1,35.46,34.7,35.02,7648100
34.9,34.98,34.61,34.71,6148000
34.99,35.35,34.92,35.1,8261200
35.18,36.0,35.15,35.89,10240300
36.07,36.84,36.01,36.43,12705000
36.9,36.93,36.46,36.62,6101900
36.64,36.91,36.51,36.69,8416400
36.7,36.95,36.5,36.66,9549100
36.7,37.0,36.34,36.97,9966200
37.0,37.29,36.82,36.82,8438700
37.0,37.34,36.54,37.27,9165300
37.18,37.39,36.47,36.7,7399300
36.5,37.05,35.0,36.94,20811700
36.94,37.06,35.76,36.15,10357000
36.15,36.5,35.89,36.37,6869200
36.37,36.94,36.27,36.69,7474000
36.85,37.63,36.55,37.32,14709600
37.09,37.43,37.05,37.3,6174000
37.39,37.57,37.19,37.36,9089900
38.0,39.19,38.0,38.95,18703100
39.28,39.49,38.97,39.27,11647100
39.16,40.3,39.15,40.18,13341200
40.27,41.16,40.05,40.98,19480600
41.0,41.76,40.75,41.12,16303900
41.11,41.11,40.16,40.27,11907300
40.38,41.09,40.18,40.82,9694500
40.8,41.09,40.67,41.03,9891000
41.11,41.76,40.77,41.59,9872400
41.64,41.78,40.97,41.35,7641500
41.35,41.47,40.16,40.84,8524700
41.01,41.28,40.7,40.98,8235600
41.0,41.71,40.99,41.46,9384300
41.2,41.43,40.86,41.33,6668800
40.95,41.05,40.42,40.6,6623100
40.85,41.3,40.71,40.88,6715300
41.23,41.4,40.88,40.95,9482900
41.25,41.42,40.97,41.18,6813200
41.3,41.73,38.0,38.83,36538800
38.6,39.82,38.35,39.52,21806500
40.0,40.2,39.43,39.65,12099800
39.58,40.25,39.55,39.75,9739900
39.85,40.59,39.78,40.46,10663200
40.82,40.88,39.95,40.06,11736900
39.8,40.73,39.8,40.44,7904700
40.25,41.22,40.21,40.95,8354300
40.9,41.37,40.74,41.27,9790700
40.94,41.25,40.7,40.8,6953300
40.81,40.97,40.35,40.55,6197000
40.52,41.03,40.36,40.96,5661200
40.99,41.19,40.6,41.17,6395400
41.01,41.49,40.72,41.4,7115800
41.4,41.45,40.5,40.64,6916600
39.9,41.27,39.9,41.06,4895500
40.7,41.37,40.7,41.29,4974400
41.48,42.23,41.46,42.15,7679400
41.05,41.56,40.81,41.09,12342800
41.08,41.36,40.9,41.03,7245300
41.2,41.46,40.96,41.1,7705500
40.85,40.99,40.58,40.8,6439400
41.04,41.29,40.72,41.18,7238500
41.17,42.01,41.15,41.94,8863000
41.94,42.02,41.57,41.95,6317600
41.97,42.19,41.84,42.04,8957900
42.15,42.37,41.9,41.96,9523900
41.81,42.12,41.36,41.76,11834800
42.0,42.5,41.81,42.4,12554800
42.45,42.51,41.91,42.06,7452600
41.94,42.21,41.68,41.9,10305600
42.15,42.25,41.67,41.67,8287800
41.93,42.27,41.75,41.99,9301600
42.0,42.29,41.8,41.94,10913000
42.0,42.1,41.29,41.42,9893000
41.4,42.05,41.24,41.86,10228500
41.86,42.07,41.61,41.86,7340700
41.99,42.12,41.64,41.82,9227500
41.65,42.19,41.61,42.19,8596900
42.35,42.85,42.19,42.76,8560100
42.68,43.54,42.62,43.2,13522100
43.4,44.18,43.33,43.76,10061400
43.89,44.18,43.32,43.96,10138700
44.17,44.65,43.88,44.48,10075900
44.48,44.89,44.22,44.49,8178200
45.36,45.64,44.85,45.64,15592300
45.46,45.7,45.31,45.7,11899800
45.7,45.95,45.25,45.93,9530500
45.9,46.09,45.79,46.07,8451500
46.1,46.34,45.81,46.21,9276300
46.37,46.37,45.74,46.09,8087500
45.88,45.94,45.52,45.64,9306100
45.5,45.64,45.13,45.42,11471300
45.99,46.14,45.56,45.67,12082800
45.71,45.71,45.15,45.4,9559500
45.35,45.69,44.3,45.1,10079600
45.08,45.85,44.89,45.81,11944800
45.81,46.32,45.67,45.9,9809900
44.76,44.76,43.65,44.34,26378100
44.0,44.18,42.7,42.88,22594200
42.77,43.2,42.29,43.12,13336000
43.2,43.8,43.13,43.46,12111700
43.48,44.28,43.39,43.89,14957300
43.69,44.5,43.64,44.15,14109300
44.4,44.7,44.3,44.65,12566900
44.71,45.06,44.6,45.06,10068600
44.95,44.98,44.4,44.57,13047400
44.4,44.79,44.1,44.22,9215800
44.06,44.91,43.91,44.38,11849700
44.01,44.33,44.0,44.18,2736100
44.07,44.31,43.58,43.62,10150800
43.72,43.89,43.37,43.67,10398500
44.1,44.69,43.97,44.56,9379300
44.4,44.74,44.16,44.51,9376100
44.65,45.08,44.45,45.06,13562500
45.32,45.9,44.3,44.7,18620700
44.55,45.71,44.55,45.39,9506900
44.7,45.12,44.13,44.67,12757300
44.91,44.98,43.84,43.95,9852100
43.79,44.08,42.96,43.93,11327400
43.95,44.92,43.86,44.01,7718000
44.29,44.45,43.4,43.62,11414800
43.64,43.89,43.06,43.34,10721700
43.31,43.93,43.3,43.6,9694600
43.71,44.11,43.42,44.0,10268500
43.89,44.07,43.67,43.83,10750000
43.75,43.98,43.29,43.51,11452000
43.38,43.94,43.25,43.3,7397800
43.31,43.7,43.17,43.27,6986100
43.27,43.42,42.78,42.83,6796000
42.95,43.06,42.63,42.79,7932500
43.0,43.62,43.0,43.37,6432400
43.12,43.71,43.12,43.55,4202400
43.45,43.65,43.21,43.6,6618500
44.03,44.89,43.97,44.02,14821900
43.65,45.45,43.62,45.11,12317000
45.1,45.1,44.18,44.3,10571300
43.16,44.52,43.16,44.29,7041700
44.3,44.5,43.83,43.88,8620600
43.85,44.39,43.63,44.12,7571500
44.25,44.6,43.92,44.26,7504600
44.48,45.09,44.32,44.79,9153100
44.8,45.17,44.71,44.95,6265700
44.95,45.23,44.7,45.01,7145300
45.05,46.01,45.05,45.74,10434000
45.86,46.16,45.43,45.6,9442700
45.42,45.91,45.03,45.3,8042700
45.53,45.97,45.31,45.73,8211200
45.78,46.33,45.68,46.22,5900700
46.01,46.55,45.72,46.0,7841400
45.99,46.39,45.42,45.99,6827500
46.19,46.23,45.31,45.51,7425000
45.76,45.93,44.6,44.91,12341500
44.9,45.09,44.5,44.75,9347800
44.9,45.44,44.69,45.13,7769600
45.12,45.31,43.91,44.73,14674600
44.61,44.7,44.25,44.58,11190600
44.74,44.78,44.21,44.64,7776600
44.88,44.89,43.97,44.26,8556500
44.02,44.75,43.81,43.92,7099500
44.06,44.28,43.66,43.82,5451100
44.0,44.24,43.7,43.85,6876300
44.1,44.15,43.69,43.95,7130400
44.14,44.23,43.9,44.06,6100100
43.91,44.06,43.66,43.88,7675300
44.07,44.75,43.91,44.28,10116900
44.39,44.7,44.21,44.5,8393600
44.45,44.45,43.81,43.95,7452500
43.85,44.02,43.13,43.2,12334700
43.2,43.22,42.8,42.94,9342000
44.34,44.93,43.87,44.48,18940500
44.28,44.5,42.35,43.18,15029700
44.26,44.7,43.67,44.15,20274100
43.95,44.48,43.51,43.99,12541600
44.25,44.43,43.56,44.19,12550500
43.94,44.85,43.68,44.25,13168300
44.25,44.96,44.2,44.67,10291100
44.26,44.84,43.82,43.86,10280500
43.98,44.39,43.98,44.36,8190100
44.53,44.85,44.3,44.61,8190500
44.43,44.7,44.11,44.29,8123800
43.95,44.5,43.25,43.37,10458300
43.65,43.65,42.76,43.27,12153000
43.16,43.28,42.87,43.19,8224100
43.29,43.63,42.98,43.09,11228600
43.34,43.7,43.11,43.42,7264900
43.29,43.8,43.14,43.63,5677800
