Open,High,Low,Close,Volume
26.25,27.0,26.1,26.84,79974418
26.77,27.08,26.77,26.97,57975661
26.96,27.13,26.91,26.99,48247610
26.89,27.0,26.49,26.91,100969092
26.93,27.07,26.76,26.86,55627836
26.65,27.02,26.59,27.0,64924946
27.01,27.39,26.9,27.29,70123544
27.25,27.26,26.97,27.14,45994725
27.03,27.25,27.01,27.19,41449046
26.9,27.19,26.9,26.99,58574807
26.74,26.98,26.7,26.83,52495587
26.87,27.24,26.85,27.02,60382450
27.01,27.01,26.26,26.41,79228490
26.41,26.53,26.3,26.35,47971611
26.34,26.45,26.22,26.28,63061743
26.41,26.57,26.23,26.4,59072711
26.56,26.72,26.31,26.5,69531321
27.23,27.95,27.19,27.79,134525193
27.82,28.18,27.78,28.0,103999604
27.91,28.38,27.87,28.15,94844406
27.96,28.07,27.76,28.04,68437410
27.97,27.99,27.55,27.68,55078684
27.48,27.7,27.34,27.54,75023515
27.51,27.54,27.09,27.17,60175657
26.95,27.15,26.81,26.94,72188789
27.01,27.08,26.71,26.91,51796468
26.96,27.03,26.65,26.66,52861644
26.62,26.89,26.51,26.69,52127000
26.63,26.7,26.34,26.39,46710435
26.41,26.68,26.35,26.65,58434046
26.6,26.93,26.5,26.88,62811407
26.85,26.9,26.57,26.81,49509025
26.67,26.81,26.56,26.7,41513193
26.72,26.72,26.34,26.54,50216190
26.53,26.86,26.47,26.72,43045961
26.73,26.89,26.54,26.66,48162886
26.59,26.74,26.52,26.63,44755831
26.75,27.26,26.67,27.05,51459788
26.95,27.3,26.87,26.87,65037794
26.98,27.2,26.95,27.14,53070445
27.02,27.1,26.9,26.97,41856388
26.81,27.16,26.74,26.93,45234151
26.92,27.15,26.83,26.91,53074268
26.9,27.1,26.81,27.06,51632001
26.99,27.5,26.97,27.25,57554578
27.27,27.42,27.0,27.0,45384011
27.06,27.22,26.88,27.17,41310878
27.18,27.29,26.94,27.11,40342996
27.04,27.38,26.99,27.23,39998399
27.2,27.45,27.01,27.36,57159425
27.34,27.48,27.22,27.27,73798629
27.35,27.66,27.27,27.5,120617680
27.7,27.99,27.67,27.89,67095079
27.96,28.22,27.68,27.74,73199528
27.08,27.5,26.8,27.15,146028255
27.08,27.1,26.66,26.85,73794286
26.71,27.21,26.62,27.01,69163099
27.01,27.3,27.0,27.01,59910619
27.01,27.21,26.81,26.9,58520542
26.95,27.2,26.92,27.02,53732283
