Open,High,Low,Close,Volume
10.85,10.92,10.67,10.74,18468800
10.71,10.8,10.67,10.69,15832000
10.69,10.83,10.69,10.76,9256000
10.79,10.83,10.71,10.72,7573600
10.72,10.98,10.72,10.88,10441600
10.81,10.98,10.8,10.9,11837600
10.91,11.01,10.88,10.91,10372800
11.02,11.02,10.75,10.79,11159200
10.84,10.89,10.68,10.78,9612000
10.8,10.8,10.6,10.6,11075200
10.63,10.68,10.54,10.66,9202400
10.53,10.62,10.5,10.59,8888800
10.64,10.7,10.48,10.52,16132000
10.45,10.5,10.18,10.43,38273600
10.54,10.56,10.39,10.5,16800000
10.51,10.57,10.49,10.53,10268800
10.64,10.64,10.47,10.5,15965600
10.53,10.58,10.38,10.39,17025600
10.33,10.35,10.08,10.22,78979200
10.22,10.26,10.11,10.12,20348000
10.16,10.52,10.15,10.39,35525600
10.4,10.49,10.38,10.42,20464800
10.36,10.48,10.34,10.46,15826400
10.68,10.72,10.5,10.52,19246400
10.54,10.59,10.4,10.43,10368800
10.46,10.62,10.44,10.55,18636800
10.48,10.56,10.45,10.49,9232800
10.59,10.59,10.38,10.56,10339200
10.52,10.54,10.4,10.54,9512800
10.54,10.58,10.45,10.5,11758400
10.53,10.62,10.47,10.53,9453600
10.62,10.64,10.54,10.6,6254400
10.53,10.65,10.51,10.61,8001600
10.6,10.66,10.56,10.64,8744000
10.66,10.87,10.64,10.74,12035200
10.74,10.93,10.72,10.82,10108000
10.82,10.94,10.8,10.9,11014400
10.9,10.96,10.83,10.91,7179200
10.85,10.98,10.83,10.85,18676000
10.83,10.89,10.78,10.79,10713600
10.72,10.8,10.67,10.76,13876000
10.73,10.84,10.72,10.79,8387200
10.81,11.0,10.78,10.86,14712800
10.71,10.71,10.5,10.61,24400000
10.59,10.64,10.56,10.62,19901600
10.6,10.69,10.59,10.67,11776000
10.67,10.72,10.6,10.62,9075200
10.62,10.63,10.53,10.56,9057600
10.55,10.58,10.52,10.58,8360000
10.63,10.66,10.55,10.63,11728000
10.62,10.81,10.62,10.75,12339200
10.72,10.74,10.66,10.68,11220800
10.62,10.78,10.61,10.69,15207200
10.69,10.69,10.59,10.62,19258400
10.61,10.9,10.56,10.85,38750400
10.84,10.89,10.75,10.75,23581600
10.76,10.84,10.69,10.74,12403200
10.73,10.73,10.63,10.68,8194400
10.66,10.73,10.6,10.65,8464000
10.64,10.69,10.62,10.69,6694400
10.74,10.74,10.58,10.62,11872000
10.62,10.65,10.58,10.64,8536800
10.64,10.73,10.58,10.61,11781600
10.61,10.65,10.5,10.63,7724000
10.61,10.64,10.53,10.57,7793600
10.59,10.64,10.49,10.61,11317600
10.64,10.67,10.44,10.45,10429600
10.48,10.51,10.34,10.39,10723200
10.44,10.49,10.29,10.31,10032000
10.31,10.35,10.25,10.32,11932800
10.33,10.46,10.32,10.41,13517600
