Open,High,Low,Close,Volume
58.3,58.86,57.69,58.78,9741600
58.8,59.12,58.56,58.89,6746400
58.7,59.07,58.61,58.7,8936100
58.74,58.8,58.48,58.64,8826300
58.45,59.09,58.45,59.08,7715700
58.89,58.9,58.57,58.85,8553600
58.94,59.07,58.6,59.06,8791800
58.98,59.0,58.4,58.41,6612800
58.41,58.92,58.39,58.9,7146800
58.45,58.86,58.42,58.65,5299200
58.5,58.75,58.37,58.55,6699600
58.0,58.88,58.0,58.51,8067300
58.51,58.56,57.79,57.84,10493200
57.84,58.26,57.64,57.64,9437800
58.0,58.16,57.29,57.87,8163500
58.1,58.47,57.83,58.47,8932300
58.75,59.0,58.59,58.82,7007000
59.4,59.8,59.05,59.74,11747900
59.13,59.7,58.95,59.14,7909700
58.95,59.35,58.89,59.23,10347600
59.1,60.02,59.06,59.82,10829900
59.74,60.15,59.64,59.65,9759100
59.39,60.05,59.32,59.68,7816700
59.58,59.9,59.1,59.79,4998800
59.47,59.81,59.11,59.32,6405700
59.4,59.8,59.23,59.47,7338000
59.46,59.85,59.32,59.62,6242200
59.63,59.79,59.46,59.7,5804900
59.58,59.67,59.27,59.44,5198600
59.55,60.0,59.48,59.84,7923000
59.75,60.25,59.71,60.11,8575200
60.02,60.83,60.01,60.73,6998200
60.59,61.03,60.42,61.0,9137500
60.88,61.0,60.69,60.88,6770600
61.0,62.0,60.98,61.94,9974000
61.85,62.09,61.39,61.48,7110800
61.32,61.73,61.06,61.5,5610800
61.68,61.89,61.35,61.35,6723400
61.0,61.21,59.85,59.93,14467400
60.11,60.46,60.02,60.11,9218800
59.99,60.02,59.36,59.55,10876800
59.3,60.16,59.3,59.67,7800900
59.55,59.96,59.5,59.67,4631300
59.56,60.56,59.42,60.3,7366400
60.25,61.33,60.23,61.07,8680200
61.5,62.0,61.1,61.4,7114000
61.45,62.44,61.45,62.25,8507000
62.11,62.5,61.8,61.98,5956200
60.09,60.68,59.6,60.01,18306900
60.51,60.51,59.77,59.9,9813700
59.8,59.86,59.0,59.39,12489800
59.39,59.4,58.85,59.1,17418400
59.38,59.38,58.71,59.18,7027800
59.21,59.72,58.94,59.03,6909400
58.7,59.6,58.7,59.49,5850200
59.26,59.4,58.44,58.65,9166600
58.56,58.95,57.98,58.74,8883300
58.38,58.62,58.26,58.29,8041500
58.0,58.28,57.5,57.53,14113000
57.44,57.98,57.0,57.74,12430800
57.53,58.1,57.4,57.63,8419500
57.63,58.3,57.58,57.63,11176100
57.69,58.36,57.69,57.88,8113400
57.83,58.48,57.77,58.0,8874300
57.95,58.1,57.54,57.62,8933900
57.57,57.92,57.24,57.5,6607300
57.5,57.94,57.26,57.28,7395500
57.3,57.4,56.95,57.15,7153800
57.27,57.3,56.09,56.49,13443800
56.3,56.5,56.28,56.42,8850500
56.4,56.67,56.35,56.6,6852400
56.2,56.47,55.75,56.03,13180500
55.94,56.37,55.84,56.16,11187100
55.68,56.08,55.07,56.07,12878200
56.16,56.8,55.77,56.26,15583700
56.1,56.76,55.99,56.34,12077500
56.15,57.0,56.15,56.6,9313700
56.9,57.52,56.63,57.27,22369800
57.56,58.06,57.48,58.01,15869100
57.8,58.73,57.76,58.38,8826800
58.3,58.47,58.0,58.21,8917700
58.43,58.67,57.76,57.88,7304800
57.66,58.34,57.43,58.11,8489400
56.25,56.49,55.18,56.22,28760000
56.23,56.69,55.6,55.86,15422700
56.24,56.24,55.65,55.73,13408200
56.01,56.6,55.42,56.34,14654500
56.36,56.67,56.17,56.5,11459900
56.69,56.74,56.25,56.34,9617500
56.65,56.65,55.51,55.65,12379000
55.8,55.83,55.01,55.01,13890600
54.69,55.7,54.05,55.57,11534800
55.6,56.26,55.52,56.04,11488100
55.56,55.92,55.25,55.33,10081600
55.2,55.53,54.88,54.89,8131000
54.99,55.0,53.75,54.15,16266900
53.96,54.49,53.95,54.28,9208400
54.31,54.99,54.06,54.49,9513200
54.56,55.14,54.19,54.82,10032200
55.13,55.28,54.86,55.26,8082700
55.2,55.3,54.71,55.13,6442600
54.78,55.02,54.33,54.38,6972000
54.58,54.69,54.0,54.25,11624100
54.35,54.51,54.03,54.48,6941200
54.37,54.55,53.8,53.95,8578200
53.8,54.04,53.07,53.18,8025800
53.11,53.5,52.75,53.37,9189300
53.6,54.13,53.16,53.24,8439600
53.5,55.1,53.3,54.74,15081400
54.52,55.0,54.11,54.45,7723700
54.57,54.92,54.16,54.31,5924200
54.32,55.25,54.1,54.13,10432400
54.0,54.93,53.79,54.83,8757400
