Open,High,Low,Close,Volume
44.85,46.0,44.52,45.99,3843800
45.99,46.61,45.85,46.5,2285900
46.79,46.98,46.58,46.95,3069300
47.0,47.63,46.99,47.21,2641500
46.71,47.35,46.65,47.23,2201500
47.05,47.19,46.59,46.89,1739000
47.18,47.68,47.04,47.65,2425500
47.68,47.89,47.28,47.37,2501900
47.38,47.45,47.05,47.25,1719600
47.1,47.22,46.33,46.43,2130800
46.44,46.9,46.06,46.53,1458600
46.4,46.9,45.55,45.94,3854700
46.0,46.11,44.88,45.01,5071600
45.15,45.71,45.1,45.54,2488800
44.73,45.9,44.73,45.32,2910100
45.25,45.26,44.5,44.71,2876300
45.45,46.59,45.43,46.2,4758200
46.0,47.1,45.95,46.54,3494100
46.89,46.89,46.16,46.25,2702700
45.95,46.06,45.24,45.38,3383600
45.36,46.08,45.3,45.61,3103300
45.4,45.46,44.12,45.3,4602700
44.9,45.5,44.74,44.79,2267200
44.63,44.78,43.75,44.13,2959700
43.93,44.34,43.76,43.77,2124700
43.75,43.8,43.27,43.68,2293800
43.59,44.08,43.15,43.46,2778200
43.46,43.82,43.36,43.63,1437700
43.53,43.83,43.15,43.28,2278600
43.56,44.84,43.49,44.34,2682400
44.24,44.35,43.87,43.91,2025400
44.1,44.11,43.36,43.4,3310500
43.4,43.45,42.89,43.03,3875400
42.4,42.83,42.28,42.77,3970800
43.0,43.12,42.8,43.05,4400700
42.68,42.7,41.94,42.5,4674200
42.24,42.8,42.18,42.55,1982100
42.7,43.16,42.6,43.06,2037700
42.8,43.2,42.55,42.98,3572800
43.1,43.2,42.66,42.81,2510400
42.62,42.76,42.35,42.59,3309500
42.34,43.0,42.13,42.87,3007700
42.74,42.9,42.28,42.46,2226600
42.25,42.68,42.11,42.63,2048900
42.41,42.69,42.24,42.54,3849800
42.6,42.6,42.02,42.13,1897200
42.23,42.53,42.03,42.32,1746000
42.52,42.82,42.38,42.66,2161400
42.69,43.0,42.46,42.8,2479300
42.93,43.15,42.6,42.93,3977300
43.04,43.23,42.85,42.96,3476400
42.88,42.95,41.35,41.55,8474400
42.11,42.3,41.81,41.9,5819900
41.11,42.18,41.11,41.47,4201600
41.67,41.86,41.36,41.58,3549500
41.41,41.55,41.27,41.36,2980800
41.34,41.58,40.95,41.46,3917700
41.32,41.44,41.1,41.24,3301800
41.15,41.22,40.65,40.75,3601200
40.9,42.12,40.9,41.96,4016900
41.96,42.35,41.92,42.18,2974300
41.98,42.36,41.51,41.79,2454500
42.04,42.47,41.71,42.13,2292300
42.23,42.56,41.96,42.35,1885600
42.5,42.62,42.1,42.26,1760400
43.16,43.16,41.93,42.14,1889600
42.15,42.31,41.16,41.29,1919300
41.24,41.57,41.03,41.4,1927200
42.11,42.11,40.99,41.1,1188400
41.15,41.6,41.0,41.25,1535700
41.15,41.41,40.83,41.02,1386300
40.23,41.38,40.23,41.11,2255000
41.0,41.93,41.0,41.8,2556600
42.0,43.04,41.86,43.0,4425800
43.05,43.46,42.75,43.27,2789600
43.47,43.47,42.36,42.71,1839800
42.72,43.07,42.45,42.95,2021100
43.11,43.6,42.8,42.88,2201400
43.15,43.81,43.15,43.78,1984300
43.73,44.25,43.36,43.72,2123100
43.85,44.41,43.68,44.03,1904400
44.0,44.24,43.24,43.4,2137300
45.0,45.78,45.0,45.6,6490700
45.78,46.08,45.72,45.85,3116000
45.99,46.2,45.85,45.86,3509200
46.0,46.09,45.37,45.76,3839900
45.5,45.75,45.48,45.59,2202400
45.55,45.74,45.29,45.29,2256400
45.21,45.52,45.07,45.5,2057600
46.37,46.37,44.98,45.08,2474800
45.09,45.31,44.7,44.72,2090000
44.6,44.94,43.89,44.94,2459000
45.0,45.0,44.67,44.79,1545900
44.7,44.92,44.35,44.58,2745800
44.56,44.94,44.07,44.2,2031600
44.3,44.98,44.18,44.65,3267700
44.53,44.87,43.97,44.06,3953100
44.06,44.57,43.85,43.85,2337100
43.77,44.19,43.4,43.68,2711900
43.95,44.08,43.53,43.85,2284400
43.95,44.19,43.59,43.81,2139900
43.75,43.83,43.18,43.18,1957200
43.25,44.02,43.19,44.02,2453300
43.85,44.49,43.85,44.41,2536700
44.33,44.44,43.56,43.8,3074300
43.7,43.76,42.61,42.63,3024400
41.84,43.04,41.84,42.73,2786200
42.52,43.14,42.35,42.73,2729000
42.73,43.45,42.54,43.34,4594700
43.32,43.46,42.87,43.1,2029900
43.23,43.28,42.65,42.7,1765200
42.74,42.91,42.21,42.3,2907900
42.15,42.62,41.97,42.55,2338000
42.64,43.94,42.45,43.82,2571600
43.68,43.98,43.5,43.88,3149100
44.0,44.45,43.83,44.21,3126500
44.3,44.52,43.97,44.02,2940300
43.87,44.48,43.76,44.4,2282500
44.22,44.63,44.05,44.29,2199700
44.0,44.39,43.89,44.15,1443100
