Open,High,Low,Close,Volume
56.45,56.66,55.46,56.53,3716500
56.8,56.8,55.84,56.19,3114500
56.3,56.49,55.63,55.98,3118900
56.45,56.67,56.1,56.16,2874300
56.37,56.9,56.16,56.8,2467200
56.44,57.02,56.05,56.84,3677300
56.7,56.77,55.59,55.98,3161100
55.75,55.92,55.12,55.46,4025300
55.55,55.95,55.55,55.66,2136600
55.85,56.48,55.82,55.98,3092600
56.15,56.53,55.39,55.99,2574400
55.65,56.31,55.28,55.98,2620600
55.98,56.06,54.7,55.01,4392700
55.01,55.08,54.2,54.47,3238400
55.76,56.73,55.15,56.45,6805800
56.45,57.0,56.43,57.0,6485500
57.47,57.55,56.48,57.52,6675600
58.24,59.34,57.6,58.75,6284200
58.54,58.8,57.86,58.36,4657500
58.0,58.98,57.98,58.37,3981300
58.12,58.84,57.6,58.0,4622900
58.2,58.4,57.63,57.75,3668600
57.76,57.98,57.0,57.18,4889200
57.35,57.36,56.86,57.09,3623100
57.21,57.22,56.75,56.89,3313600
56.79,57.01,56.51,56.72,2780900
56.84,57.09,56.2,56.71,2973100
56.93,57.46,56.47,57.13,2918800
57.15,57.46,56.89,57.34,2523400
57.34,58.35,57.16,58.13,2685300
57.92,58.39,57.65,58.13,2384000
58.1,58.33,57.84,58.2,2618600
58.3,58.42,57.66,58.0,3250400
58.25,58.94,58.07,58.83,3188400
58.94,58.99,58.53,58.88,3469400
58.88,58.95,58.5,58.55,2292400
58.35,59.15,58.07,58.89,2475600
58.88,59.3,58.76,58.76,3247100
58.7,59.15,58.19,58.5,3531800
58.5,59.09,58.41,58.7,3421800
58.5,58.82,58.02,58.29,3299100
57.92,58.67,57.64,57.86,3458800
57.9,57.95,57.4,57.72,3296300
57.65,58.44,57.26,57.75,3042400
57.9,58.08,57.34,57.84,2356200
57.53,57.7,57.14,57.4,3147800
57.1,58.22,57.06,57.82,2905700
57.95,58.29,57.86,58.0,2301500
58.05,58.46,57.92,58.31,2321600
58.06,58.25,57.55,57.93,4114800
57.83,58.66,57.61,58.23,3109000
58.68,59.17,58.5,58.8,4794400
58.65,58.9,58.49,58.7,2635300
58.4,58.9,58.26,58.44,3019100
57.48,59.31,58.55,59.13,2325900
59.23,59.24,58.31,58.75,2095000
59.1,59.94,58.99,59.28,2740700
59.16,59.42,58.8,59.22,2406100
59.35,59.75,58.1,58.28,3295700
58.85,59.15,58.05,58.31,3303900
58.23,58.64,57.73,58.02,2871300
57.93,58.31,57.77,57.97,3059900
