Open,High,Low,Close,Volume
56.42,58.47,56.42,58.47,23873200
58.6,58.84,58.06,58.57,19086600
58.57,58.82,57.87,58.28,17158600
58.76,59.56,58.76,59.43,17370000
59.8,59.87,59.27,59.4,17339500
59.2,60.16,59.16,59.86,17913400
59.68,60.49,59.32,60.27,17327100
60.5,61.0,59.6,59.64,21130500
59.51,60.99,59.51,60.97,17075900
61.26,61.74,61.08,61.54,18193400
61.72,61.75,60.12,61.09,16232700
60.68,61.7,60.42,61.5,18863000
61.81,62.06,60.35,60.53,25995600
60.53,61.64,60.12,61.2,19545900
60.9,61.53,60.75,60.96,18075000
61.34,61.65,59.55,60.21,24510200
60.79,61.02,59.57,59.95,24562800
60.36,61.53,60.31,61.29,21407600
62.88,63.96,62.79,63.11,29444900
62.75,63.45,62.3,62.75,24269200
62.77,63.08,61.91,61.95,20581800
61.9,62.29,61.21,61.95,21403400
61.65,61.82,61.03,61.39,18829100
61.7,62.61,61.65,61.97,18763400
61.59,61.85,60.4,60.55,21137800
60.0,60.64,59.68,60.39,21988500
60.55,61.39,59.74,59.92,22554900
60.05,60.93,58.6,59.43,26186400
59.43,60.35,59.11,59.6,16837100
59.26,59.9,58.8,59.55,21023400
59.81,59.95,59.05,59.76,21673200
59.9,60.25,59.51,60.25,20057500
60.37,60.68,60.21,60.55,19199900
61.0,61.3,60.65,60.76,17652900
60.6,60.74,59.96,60.26,15710600
60.01,60.54,59.63,59.83,17761700
60.34,60.73,60.18,60.42,13191700
60.2,60.52,59.9,59.92,12552500
59.52,59.75,59.1,59.37,19193300
59.59,60.54,59.53,60.34,16380400
60.04,60.98,59.98,60.85,19730500
60.83,61.5,60.81,60.98,18222100
60.95,61.09,59.94,59.98,16294100
59.9,60.02,59.45,59.85,18676200
59.45,60.41,59.15,59.71,22159700
59.94,60.01,58.86,58.92,21827900
58.92,59.21,58.44,59.18,20252800
59.68,59.96,59.45,59.64,16885400
59.55,60.87,59.44,60.81,18405400
60.67,61.2,60.41,61.02,17999200
60.97,61.92,60.85,61.64,18976400
61.8,61.8,60.99,61.05,26912800
60.77,61.35,60.33,60.66,16775400
60.66,61.23,60.37,60.72,20732700
59.9,61.49,60.62,61.05,16101600
61.11,61.35,60.92,61.25,15432600
61.15,61.69,60.9,61.17,15455400
61.11,61.47,60.93,61.29,11839700
61.45,61.89,60.86,60.95,20227300
60.95,61.5,60.95,61.28,19175200
61.25,61.73,61.0,61.12,15769100
60.9,61.18,60.82,60.86,19310300
61.36,61.98,60.87,61.03,16698100
60.65,62.01,60.43,61.75,14878600
61.63,62.18,61.55,62.16,15789300
61.6,62.7,61.6,62.09,15409100
61.77,62.59,61.23,61.33,16138900
61.9,62.1,61.5,61.94,12963700
62.2,62.73,61.8,62.0,14726500
62.05,62.26,61.2,61.46,14118900
61.29,61.78,61.0,61.56,11561100
61.94,62.19,61.61,62.05,11568700
62.49,63.8,62.45,63.54,22318100
63.1,64.48,62.93,64.3,20923000
64.0,64.78,63.33,63.92,23155000
64.2,65.0,64.1,65.0,21767900
64.76,64.87,64.24,64.41,16363100
64.85,64.98,63.13,63.95,21781900
63.98,64.8,63.01,63.1,23215100
61.5,63.4,61.0,62.42,27314900
62.57,63.5,62.52,63.08,20652600
63.4,64.33,63.32,63.42,19772900
63.82,64.77,63.82,64.67,18964600
64.6,64.77,63.2,63.77,23107700
63.77,64.41,62.89,63.31,23189500
63.9,64.05,63.2,64.0,14158700
63.6,64.09,63.17,63.71,16580400
63.6,64.17,63.43,63.94,14030600
63.5,63.95,63.0,63.88,15402400
64.1,64.26,63.25,63.46,18024900
63.46,63.5,62.06,62.24,19201500
61.51,62.48,61.35,62.0,19519400
62.11,62.71,61.54,61.96,15832000
61.45,61.74,59.94,60.18,26918200
60.25,61.0,59.86,59.89,19111000
59.9,61.04,59.5,60.45,26683700
59.95,61.41,59.56,60.78,23123700
61.3,61.72,60.19,60.39,19849400
60.0,60.9,59.15,60.1,24574900
60.78,61.93,60.52,61.52,19793500
61.53,61.71,60.86,61.58,13305000
61.7,61.8,60.11,60.2,17866300
60.21,61.06,59.76,60.91,25877700
60.4,61.15,60.01,61.11,17878500
61.5,61.85,60.51,61.65,17355700
62.1,62.2,60.0,60.05,20576400
60.0,61.31,59.9,60.4,23934700
60.3,60.36,58.8,58.82,28005600
58.38,59.7,57.82,59.57,33407200
59.89,59.9,58.5,58.8,21101600
59.05,59.35,58.13,58.24,18916100
57.75,58.3,56.65,56.65,27513900
56.65,57.99,56.64,57.8,24868100
58.06,59.55,57.96,59.12,24918800
58.95,59.49,58.17,58.8,27768500
58.77,58.81,57.21,57.39,20177900
57.66,58.34,57.26,57.39,19858600
57.35,58.87,57.25,58.06,22548600
57.72,58.26,57.65,57.97,16881000
58.15,58.85,58.01,58.1,15689500
58.1,59.02,57.91,58.82,14053900
58.97,59.91,58.97,59.65,26965100
59.8,61.22,59.8,61.12,23244300
61.22,62.54,61.13,62.37,26325600
62.65,62.65,61.35,61.35,32346400
61.8,62.47,61.71,62.15,9459900
61.9,62.92,61.63,62.55,19746600
62.75,63.5,62.66,63.47,23679000
63.7,63.89,62.49,62.84,18528500
63.0,63.59,62.78,63.04,13224400
63.2,64.27,63.2,63.98,18134800
64.0,64.27,63.35,63.97,17614500
64.15,64.7,63.69,64.07,21658400
64.57,65.0,63.97,64.9,21485800
64.5,64.9,63.57,64.0,19719400
64.4,64.94,63.95,64.61,21241300
64.62,64.89,63.65,64.66,24998700
64.45,64.86,64.12,64.25,20788000
64.57,64.78,63.91,63.93,27557800
64.35,65.53,64.2,65.36,22418700
65.36,66.0,64.92,65.74,18625000
65.51,67.18,65.47,66.6,31016900
67.4,67.65,66.45,66.47,29427300
66.25,67.3,66.24,67.0,20512500
67.43,67.94,66.76,67.74,20220300
67.24,68.25,67.21,68.18,16193500
68.37,69.23,68.12,68.48,25423000
68.07,69.28,68.04,68.37,21876700
68.6,68.82,67.94,68.69,21470700
69.0,69.62,68.48,69.23,21170200
69.24,69.83,69.01,69.27,23925400
69.69,70.42,69.18,69.29,27661400
68.87,69.47,68.39,69.34,21962400
69.35,69.96,68.85,69.73,18044600
69.54,69.65,68.79,69.25,20029800
69.9,69.92,68.17,68.69,27261500
68.3,68.94,67.31,67.57,26537600
67.18,68.16,67.01,68.08,28584900
68.4,69.1,67.72,69.1,19557400
69.3,70.03,69.3,69.83,22482500
69.71,70.25,69.36,70.21,22965100
70.08,70.23,69.04,69.63,17711600
69.79,70.83,69.61,70.72,20504300
70.72,71.22,70.34,70.43,18914000
70.05,70.2,69.75,70.1,18134600
69.72,69.85,68.84,69.41,21559900
69.43,69.5,67.75,68.3,26316800
68.05,68.26,67.6,67.67,19244400
67.85,68.44,67.37,68.1,17580200
67.68,68.65,67.5,68.48,17744000
